dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.0309433676302433
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.027705783024430275
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.030999813228845596
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.03784549981355667
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9998636245727539
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9999809265136719
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9984070658683777
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.0032375846058130264
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,5.644559860229492e-05
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,0.00690213218331337
electricity,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,0.8451985716819763
electricity,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.6593403220176697
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.10020556778258877
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.10020556778258877
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.11376545373904698
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.0858578080086269
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,1.2161228703435593e-45
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.07556649118791484
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.07556649118791484
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.20596349042707443
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.049650630234770086
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.2282533394111685
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.07556649118791484
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.07556649118791484
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.20596349042707443
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.049650630234770086
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.2282533394111685
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.07853055619134813
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.07853055619134813
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.21034342912868526
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.046296069306006694
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.21046978710874328
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.07853055619134813
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.07853055619134813
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.21034342912868526
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.046296069306006694
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.21046978710874328
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.06999098764019225
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.06999098764019225
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.20401989428989334
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.054908943066026616
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.26453161634349326
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.06999098764019225
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.06999098764019225
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.20401989428989334
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.054908943066026616
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.26453161634349326
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_score,-0.0023961940314620733
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_raw_corr,0.0023961940314620733
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_low,-0.013688547327183186
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_high,0.00944316799286753
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_pvalue,0.7351840138435364
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_score,-0.07592094795230915
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,0.07592094795230915
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.3947735099829898
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,0.028822714645765243
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,0.2260723783183925
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_score,-0.08868413428620804
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,0.08868413428620804
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,-0.37158580307132916
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,-0.01681536389611109
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.157129728162885
