seed,pre_pds,rnd_pds,pre_fss,rnd_fss,gap_pds,gap_fss,gap_sum
0,0.0578371766994735,-0.1983834973678187,-0.0063844237582632,-0.0019927644920088,0.2562206740672922,-0.0043916592662544,0.2518290148010378
1,0.0578371766994735,-0.1994442378118562,0.0024640472670351,0.0190321738322234,0.2572814145113297,-0.0165681265651883,0.24071328794614139
2,0.0578371766994735,-0.2076841096360723,-0.003647302130848,-0.0002015887568225,0.26552128633554584,-0.0034457133740255,0.26207557296152034
3,0.0578371766994735,-0.17641265163653,0.0099756926075122,-0.0030347685423713,0.2342498283360035,0.013010461149883499,0.247260289485887
4,0.0578371766994735,-0.2027752346074616,-0.0121504073105844,-0.020397197049192,0.26061241130693513,0.0082467897386076,0.26885920104554273
5,0.0578371766994735,-0.1914711604486152,0.0004039257961306,-0.0007540829423865,0.2493083371480887,0.0011580087385171,0.2504663458866058
6,0.0578371766994735,-0.189172293430991,0.0045554528512052,0.0126130247280527,0.2470094701304645,-0.0080575718768475,0.238951898253617
7,0.0578371766994735,-0.2097297722590981,0.0015762406523775,-0.0068647621056417,0.2675669489585716,0.0084410027580192,0.27600795171659076
8,0.0578371766994735,-0.1801971274891279,-0.0049874281193623,-0.0089619340975204,0.2380343041886014,0.003974505978158099,0.24200881016675949
9,0.0578371766994735,-0.2035505836575875,0.003939081042756,0.0065782027538551,0.261387760357061,-0.0026391217110991,0.2587486386459619
