dataset,weight_mode,label_mode,metric,best,median,mean,worst
etth1,pretrained,na,CSS_seasonality_bal_acc,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461
etth1,pretrained,na,CSS_seasonality_margin,0.6606256929581197,0.6606256929581197,0.6606256929581197,0.6606256929581197
etth1,pretrained,na,CSS_seasonality_pvalue,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
etth1,pretrained,na,CSS_trend_bal_acc,0.6538461538461537,0.6538461538461537,0.6538461538461537,0.6538461538461537
etth1,pretrained,na,CSS_trend_margin,0.5462920247775092,0.5462920247775092,0.5462920247775092,0.5462920247775092
etth1,pretrained,na,CSS_trend_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
etth1,pretrained,na,CSS_volatility_bal_acc,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539
etth1,pretrained,na,CSS_volatility_margin,0.6214877856187608,0.6214877856187608,0.6214877856187608,0.6214877856187608
etth1,pretrained,na,CSS_volatility_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
etth1,pretrained,na,FSS_pearson_h192_ci_high,-0.018658326426520943,-0.018658326426520943,-0.018658326426520943,-0.018658326426520943
etth1,pretrained,na,FSS_pearson_h192_ci_low,-0.050215110834687944,-0.050215110834687944,-0.050215110834687944,-0.050215110834687944
etth1,pretrained,na,FSS_pearson_h192_pvalue,9.500876672063896e-07,9.500876672063896e-07,9.500876672063896e-07,9.500876672063896e-07
etth1,pretrained,na,FSS_pearson_h192_raw_corr,0.03471801057457924,0.03471801057457924,0.03471801057457924,0.03471801057457924
etth1,pretrained,na,FSS_pearson_h192_score,-0.03471801057457924,-0.03471801057457924,-0.03471801057457924,-0.03471801057457924
etth1,pretrained,na,FSS_pearson_h336_ci_high,0.03553205467760563,0.03553205467760563,0.03553205467760563,0.03553205467760563
etth1,pretrained,na,FSS_pearson_h336_ci_low,0.011168567417189483,0.011168567417189483,0.011168567417189483,0.011168567417189483
etth1,pretrained,na,FSS_pearson_h336_pvalue,0.00078529556049034,0.00078529556049034,0.00078529556049034,0.00078529556049034
etth1,pretrained,na,FSS_pearson_h336_raw_corr,-0.02379046380519867,-0.02379046380519867,-0.02379046380519867,-0.02379046380519867
etth1,pretrained,na,FSS_pearson_h336_score,0.02379046380519867,0.02379046380519867,0.02379046380519867,0.02379046380519867
etth1,pretrained,na,FSS_pearson_h720_ci_high,0.04426485979929566,0.04426485979929566,0.04426485979929566,0.04426485979929566
etth1,pretrained,na,FSS_pearson_h720_ci_low,0.020756971603259452,0.020756971603259452,0.020756971603259452,0.020756971603259452
etth1,pretrained,na,FSS_pearson_h720_pvalue,8.504115612595342e-06,8.504115612595342e-06,8.504115612595342e-06,8.504115612595342e-06
etth1,pretrained,na,FSS_pearson_h720_raw_corr,-0.03154306858778,-0.03154306858778,-0.03154306858778,-0.03154306858778
etth1,pretrained,na,FSS_pearson_h720_score,0.03154306858778,0.03154306858778,0.03154306858778,0.03154306858778
etth1,pretrained,na,FSS_pearson_h96_ci_high,-0.03861611858010292,-0.03861611858010292,-0.03861611858010292,-0.03861611858010292
etth1,pretrained,na,FSS_pearson_h96_ci_low,-0.06752605978399515,-0.06752605978399515,-0.06752605978399515,-0.06752605978399515
