dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.10620622336864471
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.09104138612747192
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.09615568816661835
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.07572245597839355
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9998123645782471
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9999762773513794
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9987090826034546
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.01516483724117279
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.010050535202026367
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,-0.03048376739025116
traffic,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,0.9724316000938416
traffic,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.5551263093948364
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.024343423081345437
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.024343423081345437
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.038330558980672814
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.01047358756847775
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,0.0005877563049824784
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.17212695036555506
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.09153124826197499
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.613813068276678
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.17212695036555506
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.09153124826197499
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.613813068276678
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.036738241016250846
