dataset,weight_mode,label_mode,metric,best,median,mean,worst
traffic,pretrained,na,CSS_seasonality_bal_acc,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7692307692307692
traffic,pretrained,na,CSS_seasonality_margin,0.686611929993457,0.686611929993457,0.686611929993457,0.686611929993457
traffic,pretrained,na,CSS_seasonality_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
traffic,pretrained,na,CSS_trend_bal_acc,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.5576923076923077
traffic,pretrained,na,CSS_trend_margin,0.5650861005902473,0.5650861005902473,0.5650861005902473,0.5650861005902473
traffic,pretrained,na,CSS_trend_pvalue,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093
traffic,pretrained,na,CSS_volatility_bal_acc,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.6730769230769231
traffic,pretrained,na,CSS_volatility_margin,0.66740199517651,0.66740199517651,0.66740199517651,0.66740199517651
traffic,pretrained,na,CSS_volatility_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
traffic,pretrained,na,FSS_pearson_h192_ci_high,-0.0464269588701427,-0.0464269588701427,-0.0464269588701427,-0.0464269588701427
traffic,pretrained,na,FSS_pearson_h192_ci_low,-0.07140564303845166,-0.07140564303845166,-0.07140564303845166,-0.07140564303845166
traffic,pretrained,na,FSS_pearson_h192_pvalue,2.338062662025881e-16,2.338062662025881e-16,2.338062662025881e-16,2.338062662025881e-16
traffic,pretrained,na,FSS_pearson_h192_raw_corr,0.05809333547949791,0.05809333547949791,0.05809333547949791,0.05809333547949791
traffic,pretrained,na,FSS_pearson_h192_score,-0.05809333547949791,-0.05809333547949791,-0.05809333547949791,-0.05809333547949791
traffic,pretrained,na,FSS_pearson_h336_ci_high,-0.029081063298508524,-0.029081063298508524,-0.029081063298508524,-0.029081063298508524
traffic,pretrained,na,FSS_pearson_h336_ci_low,-0.05451812902465461,-0.05451812902465461,-0.05451812902465461,-0.05451812902465461
traffic,pretrained,na,FSS_pearson_h336_pvalue,7.330132056893035e-09,7.330132056893035e-09,7.330132056893035e-09,7.330132056893035e-09
traffic,pretrained,na,FSS_pearson_h336_raw_corr,0.040960680693387985,0.040960680693387985,0.040960680693387985,0.040960680693387985
traffic,pretrained,na,FSS_pearson_h336_score,-0.040960680693387985,-0.040960680693387985,-0.040960680693387985,-0.040960680693387985
traffic,pretrained,na,FSS_pearson_h720_ci_high,-0.04608847377821803,-0.04608847377821803,-0.04608847377821803,-0.04608847377821803
traffic,pretrained,na,FSS_pearson_h720_ci_low,-0.07182871513068674,-0.07182871513068674,-0.07182871513068674,-0.07182871513068674
traffic,pretrained,na,FSS_pearson_h720_pvalue,2.865415845865752e-17,2.865415845865752e-17,2.865415845865752e-17,2.865415845865752e-17
traffic,pretrained,na,FSS_pearson_h720_raw_corr,0.05984463542699814,0.05984463542699814,0.05984463542699814,0.05984463542699814
traffic,pretrained,na,FSS_pearson_h720_score,-0.05984463542699814,-0.05984463542699814,-0.05984463542699814,-0.05984463542699814
traffic,pretrained,na,FSS_pearson_h96_ci_high,0.021480507543310524,0.021480507543310524,0.021480507543310524,0.021480507543310524
traffic,pretrained,na,FSS_pearson_h96_ci_low,-0.0021806357020977846,-0.0021806357020977846,-0.0021806357020977846,-0.0021806357020977846
traffic,pretrained,na,FSS_pearson_h96_pvalue,0.15806163847446442,0.15806163847446442,0.15806163847446442,0.15806163847446442
traffic,pretrained,na,FSS_pearson_h96_raw_corr,-0.01000106893479824,-0.01000106893479824,-0.01000106893479824,-0.01000106893479824
traffic,pretrained,na,FSS_pearson_h96_score,0.01000106893479824,0.01000106893479824,0.01000106893479824,0.01000106893479824
traffic,pretrained,na,FSS_pearson_havg_ci_high,0.06029348848387599,0.06029348848387599,0.06029348848387599,0.06029348848387599
traffic,pretrained,na,FSS_pearson_havg_ci_low,0.040055091399699455,0.040055091399699455,0.040055091399699455,0.040055091399699455
traffic,pretrained,na,FSS_pearson_havg_pvalue,1.2585723479022204e-12,1.2585723479022204e-12,1.2585723479022204e-12,1.2585723479022204e-12
traffic,pretrained,na,FSS_pearson_havg_raw_corr,-0.050276853144168854,-0.050276853144168854,-0.050276853144168854,-0.050276853144168854
traffic,pretrained,na,FSS_pearson_havg_score,0.050276853144168854,0.050276853144168854,0.050276853144168854,0.050276853144168854
traffic,pretrained,na,FSS_spearman_h192_ci_high,-0.08891310561933524,-0.08891310561933524,-0.08891310561933524,-0.08891310561933524
traffic,pretrained,na,FSS_spearman_h192_ci_low,-0.11526465496536763,-0.11526465496536763,-0.11526465496536763,-0.11526465496536763
traffic,pretrained,na,FSS_spearman_h192_pvalue,3.696049808672198e-47,3.696049808672198e-47,3.696049808672198e-47,3.696049808672198e-47
traffic,pretrained,na,FSS_spearman_h192_raw_corr,0.10196041025404877,0.10196041025404877,0.10196041025404877,0.10196041025404877
traffic,pretrained,na,FSS_spearman_h192_score,-0.10196041025404877,-0.10196041025404877,-0.10196041025404877,-0.10196041025404877
traffic,pretrained,na,FSS_spearman_h336_ci_high,-0.07862457152547932,-0.07862457152547932,-0.07862457152547932,-0.07862457152547932
traffic,pretrained,na,FSS_spearman_h336_ci_low,-0.10632960348988572,-0.10632960348988572,-0.10632960348988572,-0.10632960348988572
traffic,pretrained,na,FSS_spearman_h336_pvalue,5.7685490899482974e-39,5.7685490899482974e-39,5.7685490899482974e-39,5.7685490899482974e-39
traffic,pretrained,na,FSS_spearman_h336_raw_corr,0.0923229349951089,0.0923229349951089,0.0923229349951089,0.0923229349951089
traffic,pretrained,na,FSS_spearman_h336_score,-0.0923229349951089,-0.0923229349951089,-0.0923229349951089,-0.0923229349951089
traffic,pretrained,na,FSS_spearman_h720_ci_high,-0.09019108751642485,-0.09019108751642485,-0.09019108751642485,-0.09019108751642485
traffic,pretrained,na,FSS_spearman_h720_ci_low,-0.1184789909511082,-0.1184789909511082,-0.1184789909511082,-0.1184789909511082
traffic,pretrained,na,FSS_spearman_h720_pvalue,1.6814212174530335e-49,1.6814212174530335e-49,1.6814212174530335e-49,1.6814212174530335e-49
traffic,pretrained,na,FSS_spearman_h720_raw_corr,0.10453372164412118,0.10453372164412118,0.10453372164412118,0.10453372164412118
