dataset,weight_mode,label_mode,metric,best,median,mean,worst
traffic,pretrained,na,CSS_seasonality_bal_acc,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769
traffic,pretrained,na,CSS_seasonality_margin,0.6696237128302768,0.6696237128302768,0.6696237128302768,0.6696237128302768
traffic,pretrained,na,CSS_seasonality_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
traffic,pretrained,na,CSS_trend_bal_acc,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539
traffic,pretrained,na,CSS_trend_margin,0.5732801513176254,0.5732801513176254,0.5732801513176254,0.5732801513176254
traffic,pretrained,na,CSS_trend_pvalue,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
traffic,pretrained,na,CSS_volatility_bal_acc,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
traffic,pretrained,na,CSS_volatility_margin,0.6532943655727048,0.6532943655727048,0.6532943655727048,0.6532943655727048
traffic,pretrained,na,CSS_volatility_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
traffic,pretrained,na,FSS_pearson_h192_ci_high,-0.04263172969222069,-0.04263172969222069,-0.04263172969222069,-0.04263172969222069
traffic,pretrained,na,FSS_pearson_h192_ci_low,-0.06795557830482721,-0.06795557830482721,-0.06795557830482721,-0.06795557830482721
traffic,pretrained,na,FSS_pearson_h192_pvalue,7.989687402887129e-15,7.989687402887129e-15,7.989687402887129e-15,7.989687402887129e-15
traffic,pretrained,na,FSS_pearson_h192_raw_corr,0.054987139999866486,0.054987139999866486,0.054987139999866486,0.054987139999866486
traffic,pretrained,na,FSS_pearson_h192_score,-0.054987139999866486,-0.054987139999866486,-0.054987139999866486,-0.054987139999866486
traffic,pretrained,na,FSS_pearson_h336_ci_high,-0.023842605762183666,-0.023842605762183666,-0.023842605762183666,-0.023842605762183666
traffic,pretrained,na,FSS_pearson_h336_ci_low,-0.049638091027736655,-0.049638091027736655,-0.049638091027736655,-0.049638091027736655
traffic,pretrained,na,FSS_pearson_h336_pvalue,1.6497382659963478e-07,1.6497382659963478e-07,1.6497382659963478e-07,1.6497382659963478e-07
traffic,pretrained,na,FSS_pearson_h336_raw_corr,0.0370790995657444,0.0370790995657444,0.0370790995657444,0.0370790995657444
traffic,pretrained,na,FSS_pearson_h336_score,-0.0370790995657444,-0.0370790995657444,-0.0370790995657444,-0.0370790995657444
traffic,pretrained,na,FSS_pearson_h720_ci_high,-0.05444313427433371,-0.05444313427433371,-0.05444313427433371,-0.05444313427433371
traffic,pretrained,na,FSS_pearson_h720_ci_low,-0.0831990860402584,-0.0831990860402584,-0.0831990860402584,-0.0831990860402584
traffic,pretrained,na,FSS_pearson_h720_pvalue,5.827182978235537e-22,5.827182978235537e-22,5.827182978235537e-22,5.827182978235537e-22
traffic,pretrained,na,FSS_pearson_h720_raw_corr,0.06816528737545013,0.06816528737545013,0.06816528737545013,0.06816528737545013
traffic,pretrained,na,FSS_pearson_h720_score,-0.06816528737545013,-0.06816528737545013,-0.06816528737545013,-0.06816528737545013
traffic,pretrained,na,FSS_pearson_h96_ci_high,0.03105201353318989,0.03105201353318989,0.03105201353318989,0.03105201353318989
traffic,pretrained,na,FSS_pearson_h96_ci_low,0.008260118891485039,0.008260118891485039,0.008260118891485039,0.008260118891485039
traffic,pretrained,na,FSS_pearson_h96_pvalue,0.0051437621004879475,0.0051437621004879475,0.0051437621004879475,0.0051437621004879475
traffic,pretrained,na,FSS_pearson_h96_raw_corr,-0.0198235921561718,-0.0198235921561718,-0.0198235921561718,-0.0198235921561718
traffic,pretrained,na,FSS_pearson_h96_score,0.0198235921561718,0.0198235921561718,0.0198235921561718,0.0198235921561718
traffic,pretrained,na,FSS_pearson_havg_ci_high,0.043603254668414596,0.043603254668414596,0.043603254668414596,0.043603254668414596
traffic,pretrained,na,FSS_pearson_havg_ci_low,0.020135678118094802,0.020135678118094802,0.020135678118094802,0.020135678118094802
traffic,pretrained,na,FSS_pearson_havg_pvalue,6.100554855947848e-06,6.100554855947848e-06,6.100554855947848e-06,6.100554855947848e-06
traffic,pretrained,na,FSS_pearson_havg_raw_corr,-0.032035522162914276,-0.032035522162914276,-0.032035522162914276,-0.032035522162914276
traffic,pretrained,na,FSS_pearson_havg_score,0.032035522162914276,0.032035522162914276,0.032035522162914276,0.032035522162914276
traffic,pretrained,na,FSS_spearman_h192_ci_high,-0.08387623801177409,-0.08387623801177409,-0.08387623801177409,-0.08387623801177409
traffic,pretrained,na,FSS_spearman_h192_ci_low,-0.11167433129991922,-0.11167433129991922,-0.11167433129991922,-0.11167433129991922
traffic,pretrained,na,FSS_spearman_h192_pvalue,6.055321195934392e-44,6.055321195934392e-44,6.055321195934392e-44,6.055321195934392e-44
traffic,pretrained,na,FSS_spearman_h192_raw_corr,0.09825584512305163,0.09825584512305163,0.09825584512305163,0.09825584512305163
traffic,pretrained,na,FSS_spearman_h192_score,-0.09825584512305163,-0.09825584512305163,-0.09825584512305163,-0.09825584512305163
traffic,pretrained,na,FSS_spearman_h336_ci_high,-0.06854593580498088,-0.06854593580498088,-0.06854593580498088,-0.06854593580498088
traffic,pretrained,na,FSS_spearman_h336_ci_low,-0.09587582525574286,-0.09587582525574286,-0.09587582525574286,-0.09587582525574286
traffic,pretrained,na,FSS_spearman_h336_pvalue,3.573237395171449e-31,3.573237395171449e-31,3.573237395171449e-31,3.573237395171449e-31
traffic,pretrained,na,FSS_spearman_h336_raw_corr,0.08213732098566016,0.08213732098566016,0.08213732098566016,0.08213732098566016
traffic,pretrained,na,FSS_spearman_h336_score,-0.08213732098566016,-0.08213732098566016,-0.08213732098566016,-0.08213732098566016
traffic,pretrained,na,FSS_spearman_h720_ci_high,-0.09100228326327967,-0.09100228326327967,-0.09100228326327967,-0.09100228326327967
traffic,pretrained,na,FSS_spearman_h720_ci_low,-0.11628735364131942,-0.11628735364131942,-0.11628735364131942,-0.11628735364131942
traffic,pretrained,na,FSS_spearman_h720_pvalue,2.3024990942211838e-48,2.3024990942211838e-48,2.3024990942211838e-48,2.3024990942211838e-48
traffic,pretrained,na,FSS_spearman_h720_raw_corr,0.10325726169342507,0.10325726169342507,0.10325726169342507,0.10325726169342507
traffic,pretrained,na,FSS_spearman_h720_score,-0.10325726169342507,-0.10325726169342507,-0.10325726169342507,-0.10325726169342507
traffic,pretrained,na,FSS_spearman_h96_ci_high,-0.00880490631192253,-0.00880490631192253,-0.00880490631192253,-0.00880490631192253
traffic,pretrained,na,FSS_spearman_h96_ci_low,-0.033346537957151354,-0.033346537957151354,-0.033346537957151354,-0.033346537957151354
traffic,pretrained,na,FSS_spearman_h96_pvalue,0.0029883283351356724,0.0029883283351356724,0.0029883283351356724,0.0029883283351356724
traffic,pretrained,na,FSS_spearman_h96_raw_corr,0.021035182008788525,0.021035182008788525,0.021035182008788525,0.021035182008788525
traffic,pretrained,na,FSS_spearman_h96_score,-0.021035182008788525,-0.021035182008788525,-0.021035182008788525,-0.021035182008788525
traffic,pretrained,na,FSS_spearman_havg_ci_high,0.021570439942133666,0.021570439942133666,0.021570439942133666,0.021570439942133666
traffic,pretrained,na,FSS_spearman_havg_ci_low,-0.005208711922413693,-0.005208711922413693,-0.005208711922413693,-0.005208711922413693
traffic,pretrained,na,FSS_spearman_havg_pvalue,0.2478167152176341,0.2478167152176341,0.2478167152176341,0.2478167152176341
traffic,pretrained,na,FSS_spearman_havg_raw_corr,-0.008187553232337146,-0.008187553232337146,-0.008187553232337146,-0.008187553232337146
traffic,pretrained,na,FSS_spearman_havg_score,0.008187553232337146,0.008187553232337146,0.008187553232337146,0.008187553232337146
traffic,pretrained,na,LLS_avgk,0.2613084207987413,0.2613084207987413,0.2613084207987413,0.2613084207987413
traffic,pretrained,na,LLS_k10,0.33167765784310177,0.33167765784310177,0.33167765784310177,0.33167765784310177
traffic,pretrained,na,LLS_k20,0.2548980309511535,0.2548980309511535,0.2548980309511535,0.2548980309511535
traffic,pretrained,na,LLS_k50,0.1973495736019686,0.1973495736019686,0.1973495736019686,0.1973495736019686
traffic,pretrained,na,LTC_dir,-0.5551263093948364,-0.5551263093948364,-0.5551263093948364,-0.5551263093948364
traffic,pretrained,na,LTC_step,0.9724316000938416,0.9724316000938416,0.9724316000938416,0.9724316000938416
traffic,pretrained,na,MCS_k10,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616
traffic,pretrained,na,MCS_k20,1.0,1.0,1.0,1.0
traffic,pretrained,na,MCS_k50,1.0,1.0,1.0,1.0
traffic,pretrained,na,PDS_pearson_mae_h192_ci_high,0.04843025245736654,0.037792378174574356,0.03848533877068306,0.029233385680108276
traffic,pretrained,na,PDS_pearson_mae_h192_ci_low,-0.23613973182390324,-0.23649459949595744,-0.23817106370288357,-0.24187885978879006
traffic,pretrained,na,PDS_pearson_mae_h192_pvalue,0.9840378810376298,0.9253884843411301,0.9433635181339274,0.920664189023022
traffic,pretrained,na,PDS_pearson_mae_h192_raw_corr,0.005881756799553544,0.0012565792332972167,0.0002943216475239374,-0.006255371090278948
traffic,pretrained,na,PDS_pearson_mae_h192_score,0.006255371090278948,-0.0012565792332972167,-0.0002943216475239374,-0.005881756799553544
traffic,pretrained,na,PDS_pearson_mae_h336_ci_high,0.06015134544201689,0.05722367825152539,0.05240775106719151,0.03984822950803225
traffic,pretrained,na,PDS_pearson_mae_h336_ci_low,-0.2016010862358712,-0.20515033848417513,-0.20960019062975185,-0.2220491471692092
traffic,pretrained,na,PDS_pearson_mae_h336_pvalue,0.36113446003630745,0.27687202434452296,0.2925950114527325,0.23977854997736697
traffic,pretrained,na,PDS_pearson_mae_h336_raw_corr,0.07373206528552967,0.06821544836576339,0.06641879825117199,0.05730888110222293
traffic,pretrained,na,PDS_pearson_mae_h336_score,-0.05730888110222293,-0.06821544836576339,-0.06641879825117199,-0.07373206528552967
traffic,pretrained,na,PDS_pearson_mae_h720_ci_high,0.0611284094787627,0.051362812252709764,0.05410760203987086,0.049831584388140136
traffic,pretrained,na,PDS_pearson_mae_h720_ci_low,-0.17343420116718597,-0.19125266855821038,-0.19068829987602187,-0.2073780299026693
traffic,pretrained,na,PDS_pearson_mae_h720_pvalue,0.9666448039876645,0.9218770393734148,0.9067838425703738,0.8318296843500422
traffic,pretrained,na,PDS_pearson_mae_h720_raw_corr,-0.0026263937616094004,-0.006159434044775831,-0.007374241939073979,-0.013336898010836708
traffic,pretrained,na,PDS_pearson_mae_h720_score,0.013336898010836708,0.006159434044775831,0.007374241939073979,0.0026263937616094004
traffic,pretrained,na,PDS_pearson_mae_h96_ci_high,0.08296618587599601,0.08252328530331314,0.08116147755786833,0.07799496149429581
traffic,pretrained,na,PDS_pearson_mae_h96_ci_low,-0.046656622343879114,-0.048959552552087456,-0.05116986863265093,-0.05789343100198621
