dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.10983112454414368
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.08710964024066925
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.10539330542087555
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.06964633613824844
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9998185634613037
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9999749064445496
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9987307786941528
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.022721484303474426
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.0044378191232681274
traffic,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,-0.04018478840589523
traffic,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,0.9724316000938416
traffic,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.5551263093948364
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.019317189557743527
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.019317189557743527
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.033060939758954036
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.005857340492594804
traffic,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,0.0063921503780453
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.16357061161062447
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.10035898477798988
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.613813068276678
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.03168702792401007
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.16357061161062447
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.10035898477798988
traffic,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.613813068276678
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.036738241016250846
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.036738241016250846
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.16691602215425805
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.07798123271809833
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.5584584328988392
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.036738241016250846
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.036738241016250846
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.16691602215425805
traffic,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.07798123271809833
