dataset,weight_mode,label_mode,metric,best,median,mean,worst
weather,pretrained,na,CSS_seasonality_bal_acc,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.5576923076923077
weather,pretrained,na,CSS_seasonality_margin,0.6131348845197124,0.6131348845197124,0.6131348845197124,0.6131348845197124
weather,pretrained,na,CSS_seasonality_pvalue,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
weather,pretrained,na,CSS_trend_bal_acc,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769
weather,pretrained,na,CSS_trend_margin,0.6352861641631745,0.6352861641631745,0.6352861641631745,0.6352861641631745
weather,pretrained,na,CSS_trend_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
weather,pretrained,na,CSS_volatility_bal_acc,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.7115384615384616
weather,pretrained,na,CSS_volatility_margin,0.6165139065431926,0.6165139065431926,0.6165139065431926,0.6165139065431926
weather,pretrained,na,CSS_volatility_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
weather,pretrained,na,FSS_pearson_h192_ci_high,0.06498278826475143,0.06498278826475143,0.06498278826475143,0.06498278826475143
weather,pretrained,na,FSS_pearson_h192_ci_low,0.0421287601813674,0.0421287601813674,0.0421287601813674,0.0421287601813674
weather,pretrained,na,FSS_pearson_h192_pvalue,4.3892759435740225e-14,4.3892759435740225e-14,4.3892759435740225e-14,4.3892759435740225e-14
weather,pretrained,na,FSS_pearson_h192_raw_corr,-0.05342966318130493,-0.05342966318130493,-0.05342966318130493,-0.05342966318130493
weather,pretrained,na,FSS_pearson_h192_score,0.05342966318130493,0.05342966318130493,0.05342966318130493,0.05342966318130493
weather,pretrained,na,FSS_pearson_h336_ci_high,0.06458775401115417,0.06458775401115417,0.06458775401115417,0.06458775401115417
weather,pretrained,na,FSS_pearson_h336_ci_low,0.0427998890168965,0.0427998890168965,0.0427998890168965,0.0427998890168965
weather,pretrained,na,FSS_pearson_h336_pvalue,2.4812715494456142e-14,2.4812715494456142e-14,2.4812715494456142e-14,2.4812715494456142e-14
weather,pretrained,na,FSS_pearson_h336_raw_corr,-0.053979262709617615,-0.053979262709617615,-0.053979262709617615,-0.053979262709617615
weather,pretrained,na,FSS_pearson_h336_score,0.053979262709617615,0.053979262709617615,0.053979262709617615,0.053979262709617615
weather,pretrained,na,FSS_pearson_h720_ci_high,0.05621336605399847,0.05621336605399847,0.05621336605399847,0.05621336605399847
weather,pretrained,na,FSS_pearson_h720_ci_low,0.03635451849550009,0.03635451849550009,0.03635451849550009,0.03635451849550009
weather,pretrained,na,FSS_pearson_h720_pvalue,1.0999528371469225e-10,1.0999528371469225e-10,1.0999528371469225e-10,1.0999528371469225e-10
weather,pretrained,na,FSS_pearson_h720_raw_corr,-0.045704811811447144,-0.045704811811447144,-0.045704811811447144,-0.045704811811447144
weather,pretrained,na,FSS_pearson_h720_score,0.045704811811447144,0.045704811811447144,0.045704811811447144,0.045704811811447144
weather,pretrained,na,FSS_pearson_h96_ci_high,0.06652445290237666,0.06652445290237666,0.06652445290237666,0.06652445290237666
weather,pretrained,na,FSS_pearson_h96_ci_low,0.043325187079608446,0.043325187079608446,0.043325187079608446,0.043325187079608446
weather,pretrained,na,FSS_pearson_h96_pvalue,2.5694144755632545e-14,2.5694144755632545e-14,2.5694144755632545e-14,2.5694144755632545e-14
weather,pretrained,na,FSS_pearson_h96_raw_corr,-0.0539325550198555,-0.0539325550198555,-0.0539325550198555,-0.0539325550198555
weather,pretrained,na,FSS_pearson_h96_score,0.0539325550198555,0.0539325550198555,0.0539325550198555,0.0539325550198555
weather,pretrained,na,FSS_pearson_havg_ci_high,0.04519644258543849,0.04519644258543849,0.04519644258543849,0.04519644258543849
weather,pretrained,na,FSS_pearson_havg_ci_low,0.02329785730689764,0.02329785730689764,0.02329785730689764,0.02329785730689764
weather,pretrained,na,FSS_pearson_havg_pvalue,2.2122096652310574e-06,2.2122096652310574e-06,2.2122096652310574e-06,2.2122096652310574e-06
weather,pretrained,na,FSS_pearson_havg_raw_corr,-0.03353312984108925,-0.03353312984108925,-0.03353312984108925,-0.03353312984108925
weather,pretrained,na,FSS_pearson_havg_score,0.03353312984108925,0.03353312984108925,0.03353312984108925,0.03353312984108925
weather,pretrained,na,FSS_spearman_h192_ci_high,-0.03517466280044957,-0.03517466280044957,-0.03517466280044957,-0.03517466280044957
weather,pretrained,na,FSS_spearman_h192_ci_low,-0.06277755410512885,-0.06277755410512885,-0.06277755410512885,-0.06277755410512885
weather,pretrained,na,FSS_spearman_h192_pvalue,6.723162940539215e-12,6.723162940539215e-12,6.723162940539215e-12,6.723162940539215e-12
weather,pretrained,na,FSS_spearman_h192_raw_corr,0.04858388114147136,0.04858388114147136,0.04858388114147136,0.04858388114147136
weather,pretrained,na,FSS_spearman_h192_score,-0.04858388114147136,-0.04858388114147136,-0.04858388114147136,-0.04858388114147136
weather,pretrained,na,FSS_spearman_h336_ci_high,-0.030235211207351287,-0.030235211207351287,-0.030235211207351287,-0.030235211207351287
weather,pretrained,na,FSS_spearman_h336_ci_low,-0.05697666844445474,-0.05697666844445474,-0.05697666844445474,-0.05697666844445474
