dataset,model,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
csi300,lightgts,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,lightgts,na,na,na,na,0.0,0.0,0.0,elapsed_sec,22.5124
csi300,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,elapsed_sec,44.2608
csi300,sundial,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,sundial,na,na,na,na,0.0,0.0,0.0,elapsed_sec,41.867
csi300,time-moe,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,time-moe,na,na,na,na,0.0,0.0,0.0,elapsed_sec,49.3423
csi300,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,elapsed_sec,59.0562
csi300,moment,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,moment,na,na,na,na,0.0,0.0,0.0,elapsed_sec,30.8039
csi300,unitime,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,unitime,na,na,na,na,0.0,0.0,0.0,elapsed_sec,37.5399
csi300,patchtst,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,patchtst,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.8539
csi300,time-series-library,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,time-series-library,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.442
csi300,tslib,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,tslib,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.7373
csi300,itransformer,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,itransformer,na,na,na,na,0.0,0.0,0.0,elapsed_sec,22.1056
csi300,ltsf-linear,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,ltsf-linear,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.935
csi300,neuralforecast,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,neuralforecast,na,na,na,na,0.0,0.0,0.0,elapsed_sec,57.4246
csi300,large-time-series-model,na,na,na,na,0.0,0.0,0.0,success,1.0
csi300,large-time-series-model,na,na,na,na,0.0,0.0,0.0,elapsed_sec,22.4348
