dataset,model,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
electricity,lightgts,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,lightgts,na,na,na,na,0.0,0.0,0.0,elapsed_sec,11.926
electricity,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.4197
electricity,sundial,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,sundial,na,na,na,na,0.0,0.0,0.0,elapsed_sec,20.3753
electricity,time-moe,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,time-moe,na,na,na,na,0.0,0.0,0.0,elapsed_sec,1175.8712
electricity,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,elapsed_sec,32.37
electricity,moment,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,moment,na,na,na,na,0.0,0.0,0.0,elapsed_sec,16.7019
electricity,unitime,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,unitime,na,na,na,na,0.0,0.0,0.0,elapsed_sec,17.7124
electricity,patchtst,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,patchtst,na,na,na,na,0.0,0.0,0.0,elapsed_sec,10.2262
electricity,time-series-library,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,time-series-library,na,na,na,na,0.0,0.0,0.0,elapsed_sec,8.4776
electricity,tslib,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,tslib,na,na,na,na,0.0,0.0,0.0,elapsed_sec,6.3871
electricity,itransformer,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,itransformer,na,na,na,na,0.0,0.0,0.0,elapsed_sec,10.2115
electricity,ltsf-linear,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,ltsf-linear,na,na,na,na,0.0,0.0,0.0,elapsed_sec,10.0899
electricity,neuralforecast,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,neuralforecast,na,na,na,na,0.0,0.0,0.0,elapsed_sec,29.9718
electricity,large-time-series-model,na,na,na,na,0.0,0.0,0.0,success,1.0
electricity,large-time-series-model,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.1685
