dataset,model,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
ett,lightgts,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,lightgts,na,na,na,na,0.0,0.0,0.0,elapsed_sec,11.5057
ett,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.9794
ett,sundial,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,sundial,na,na,na,na,0.0,0.0,0.0,elapsed_sec,18.1273
ett,time-moe,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,time-moe,na,na,na,na,0.0,0.0,0.0,elapsed_sec,102.6035
ett,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,elapsed_sec,32.1519
ett,moment,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,moment,na,na,na,na,0.0,0.0,0.0,elapsed_sec,14.8058
ett,unitime,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,unitime,na,na,na,na,0.0,0.0,0.0,elapsed_sec,19.7206
ett,patchtst,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,patchtst,na,na,na,na,0.0,0.0,0.0,elapsed_sec,10.1557
ett,time-series-library,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,time-series-library,na,na,na,na,0.0,0.0,0.0,elapsed_sec,8.4949
ett,tslib,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,tslib,na,na,na,na,0.0,0.0,0.0,elapsed_sec,6.614
ett,itransformer,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,itransformer,na,na,na,na,0.0,0.0,0.0,elapsed_sec,10.0293
ett,ltsf-linear,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,ltsf-linear,na,na,na,na,0.0,0.0,0.0,elapsed_sec,9.9488
ett,neuralforecast,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,neuralforecast,na,na,na,na,0.0,0.0,0.0,elapsed_sec,29.9562
ett,large-time-series-model,na,na,na,na,0.0,0.0,0.0,success,1.0
ett,large-time-series-model,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.3273
