dataset,model,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
weather,lightgts,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,lightgts,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.647
weather,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,neurips2023-one-fits-all,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.571
weather,sundial,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,sundial,na,na,na,na,0.0,0.0,0.0,elapsed_sec,21.9768
weather,time-moe,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,time-moe,na,na,na,na,0.0,0.0,0.0,elapsed_sec,99.7353
weather,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,chronos-forecasting,na,na,na,na,0.0,0.0,0.0,elapsed_sec,30.9597
weather,moment,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,moment,na,na,na,na,0.0,0.0,0.0,elapsed_sec,18.3802
weather,unitime,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,unitime,na,na,na,na,0.0,0.0,0.0,elapsed_sec,19.6726
weather,patchtst,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,patchtst,na,na,na,na,0.0,0.0,0.0,elapsed_sec,10.1439
weather,time-series-library,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,time-series-library,na,na,na,na,0.0,0.0,0.0,elapsed_sec,6.3708
weather,tslib,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,tslib,na,na,na,na,0.0,0.0,0.0,elapsed_sec,6.5205
weather,itransformer,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,itransformer,na,na,na,na,0.0,0.0,0.0,elapsed_sec,12.6482
weather,ltsf-linear,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,ltsf-linear,na,na,na,na,0.0,0.0,0.0,elapsed_sec,10.572
weather,neuralforecast,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,neuralforecast,na,na,na,na,0.0,0.0,0.0,elapsed_sec,30.4117
weather,large-time-series-model,na,na,na,na,0.0,0.0,0.0,success,1.0
weather,large-time-series-model,na,na,na,na,0.0,0.0,0.0,elapsed_sec,9.9812
