dataset,model,status,adapter
weather,LightGTS,ok,lightgts_forecast
weather,NeurIPS2023-One-Fits-All,ok,gpt4ts_forecast
weather,Sundial,ok,hf_hidden_state
weather,Time-MoE,ok,hf_hidden_state
weather,UniTime,ok,unitime_forecast
weather,VisionTS,ok,visionts_forecast
weather,moment,ok,moment_embed
weather,tirex,ok,tirex_forecast
weather,uni2ts,ok,moirai2_forecast
weather,chronos-forecasting,ok,chronos_embed
electricity,LightGTS,ok,lightgts_forecast
electricity,NeurIPS2023-One-Fits-All,ok,gpt4ts_forecast
electricity,Sundial,ok,hf_hidden_state
electricity,Time-MoE,ok,hf_hidden_state
electricity,UniTime,ok,unitime_forecast
electricity,VisionTS,ok,visionts_forecast
electricity,moment,ok,moment_embed
electricity,tirex,ok,tirex_forecast
electricity,uni2ts,ok,moirai2_forecast
electricity,chronos-forecasting,ok,chronos_embed
ett,LightGTS,ok,lightgts_forecast
ett,NeurIPS2023-One-Fits-All,ok,gpt4ts_forecast
ett,Sundial,ok,hf_hidden_state
ett,Time-MoE,ok,hf_hidden_state
ett,UniTime,ok,unitime_forecast
ett,VisionTS,ok,visionts_forecast
ett,moment,ok,moment_embed
ett,tirex,ok,tirex_forecast
ett,uni2ts,ok,moirai2_forecast
ett,chronos-forecasting,ok,chronos_embed
traffic,LightGTS,ok,lightgts_forecast
traffic,NeurIPS2023-One-Fits-All,ok,gpt4ts_forecast
traffic,Sundial,ok,hf_hidden_state
traffic,Time-MoE,ok,hf_hidden_state
traffic,UniTime,ok,unitime_forecast
traffic,VisionTS,ok,visionts_forecast
traffic,moment,ok,moment_embed
traffic,tirex,ok,tirex_forecast
traffic,uni2ts,ok,moirai2_forecast
traffic,chronos-forecasting,ok,chronos_embed
csi300,LightGTS,ok,lightgts_forecast
csi300,NeurIPS2023-One-Fits-All,ok,gpt4ts_forecast
csi300,Sundial,ok,hf_hidden_state
csi300,Time-MoE,ok,hf_hidden_state
csi300,UniTime,ok,unitime_forecast
csi300,VisionTS,ok,visionts_forecast
csi300,moment,ok,moment_embed
csi300,tirex,ok,tirex_forecast
csi300,uni2ts,ok,moirai2_forecast
csi300,chronos-forecasting,ok,chronos_embed
csi800,LightGTS,ok,lightgts_forecast
csi800,NeurIPS2023-One-Fits-All,ok,gpt4ts_forecast
csi800,Sundial,ok,hf_hidden_state
csi800,Time-MoE,ok,hf_hidden_state
csi800,UniTime,ok,unitime_forecast
csi800,VisionTS,ok,visionts_forecast
csi800,moment,ok,moment_embed
csi800,tirex,ok,tirex_forecast
csi800,uni2ts,ok,moirai2_forecast
csi800,chronos-forecasting,ok,chronos_embed
