dataset,model,metric,best,median,mean,worst
csi800,LightGTS,FSS_spearman_h96_score,-0.35190287523920305,-0.35190287523920305,-0.35190287523920305,-0.35190287523920305
csi800,LightGTS,GSP_mask,0.0,0.0,0.0,0.0
csi800,LightGTS,GSP_noise,0.0,0.0,0.0,0.0
csi800,LightGTS,GSP_warp,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398
csi800,LightGTS,LCS_clean,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398
csi800,LightGTS,LCS_mask,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398
csi800,LightGTS,LCS_noise,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398,-0.05671818554401398
csi800,LightGTS,LCS_warp,0.0,0.0,0.0,0.0
csi800,LightGTS,LTC_dir,-0.4679553508758545,-0.4679553508758545,-0.4679553508758545,-0.4679553508758545
csi800,LightGTS,LTC_step,2.505385398864746,2.505385398864746,2.505385398864746,2.505385398864746
csi800,LightGTS,PDS_spearman_mae_h96_score,-0.29685497253376053,-0.29685497253376053,-0.29685497253376053,-0.29685497253376053
csi800,LightGTS,TSI_mask,1.0,1.0,1.0,1.0
csi800,LightGTS,TSI_noise,1.0,1.0,1.0,1.0
csi800,LightGTS,TSI_warp,0.0,0.0,0.0,0.0
csi800,NeurIPS2023-One-Fits-All,FSS_spearman_h96_score,-0.6205271810701211,-0.6205271810701211,-0.6205271810701211,-0.6205271810701211
csi800,NeurIPS2023-One-Fits-All,GSP_mask,0.0,0.0,0.0,0.0
csi800,NeurIPS2023-One-Fits-All,GSP_noise,0.0,0.0,0.0,0.0
csi800,NeurIPS2023-One-Fits-All,GSP_warp,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125
csi800,NeurIPS2023-One-Fits-All,LCS_clean,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125
csi800,NeurIPS2023-One-Fits-All,LCS_mask,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125
csi800,NeurIPS2023-One-Fits-All,LCS_noise,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125,-0.045825958251953125
csi800,NeurIPS2023-One-Fits-All,LCS_warp,0.0,0.0,0.0,0.0
csi800,NeurIPS2023-One-Fits-All,LTC_dir,-0.3835105895996094,-0.3835105895996094,-0.3835105895996094,-0.3835105895996094
csi800,NeurIPS2023-One-Fits-All,LTC_step,1.1871732473373413,1.1871732473373413,1.1871732473373413,1.1871732473373413
csi800,NeurIPS2023-One-Fits-All,PDS_spearman_mae_h96_score,-0.2454695010299839,-0.2454695010299839,-0.2454695010299839,-0.2454695010299839
csi800,NeurIPS2023-One-Fits-All,TSI_mask,1.0,1.0,1.0,1.0
csi800,NeurIPS2023-One-Fits-All,TSI_noise,1.0,1.0,1.0,1.0
csi800,NeurIPS2023-One-Fits-All,TSI_warp,0.0,0.0,0.0,0.0
csi800,Sundial,FSS_spearman_h96_score,-0.19857543886298554,-0.19857543886298554,-0.19857543886298554,-0.19857543886298554
csi800,Sundial,GSP_mask,0.0,0.0,0.0,0.0
csi800,Sundial,GSP_noise,0.0,0.0,0.0,0.0
csi800,Sundial,GSP_warp,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168,-0.04843460023403168
