dataset,model,metric,best,median,mean,worst
traffic,LightGTS,FSS_spearman_h96_score,-0.41756495516865993,-0.41756495516865993,-0.41756495516865993,-0.41756495516865993
traffic,LightGTS,GSP_mask,0.0,0.0,0.0,0.0
traffic,LightGTS,GSP_noise,0.0,0.0,0.0,0.0
traffic,LightGTS,GSP_warp,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344
traffic,LightGTS,LCS_clean,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344
traffic,LightGTS,LCS_mask,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344
traffic,LightGTS,LCS_noise,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344,-0.051756493747234344
traffic,LightGTS,LCS_warp,0.0,0.0,0.0,0.0
traffic,LightGTS,LTC_dir,-0.2559572458267212,-0.2559572458267212,-0.2559572458267212,-0.2559572458267212
traffic,LightGTS,LTC_step,1.6317875385284424,1.6317875385284424,1.6317875385284424,1.6317875385284424
traffic,LightGTS,PDS_spearman_mae_h96_score,0.21678015564202333,0.21678015564202333,0.21678015564202333,0.21678015564202333
traffic,LightGTS,TSI_mask,1.0,1.0,1.0,1.0
traffic,LightGTS,TSI_noise,1.0,1.0,1.0,1.0
traffic,LightGTS,TSI_warp,0.0,0.0,0.0,0.0
traffic,NeurIPS2023-One-Fits-All,FSS_spearman_h96_score,-0.9180497356006874,-0.9180497356006874,-0.9180497356006874,-0.9180497356006874
traffic,NeurIPS2023-One-Fits-All,GSP_mask,0.0,0.0,0.0,0.0
traffic,NeurIPS2023-One-Fits-All,GSP_noise,0.0,0.0,0.0,0.0
traffic,NeurIPS2023-One-Fits-All,GSP_warp,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,LCS_clean,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,LCS_mask,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,LCS_noise,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,LCS_warp,0.0,0.0,0.0,0.0
traffic,NeurIPS2023-One-Fits-All,LTC_dir,-0.5983802080154419,-0.5983802080154419,-0.5983802080154419,-0.5983802080154419
traffic,NeurIPS2023-One-Fits-All,LTC_step,1.6213438510894775,1.6213438510894775,1.6213438510894775,1.6213438510894775
traffic,NeurIPS2023-One-Fits-All,PDS_spearman_mae_h96_score,-0.009233377203021285,-0.009233377203021285,-0.009233377203021285,-0.009233377203021285
traffic,NeurIPS2023-One-Fits-All,TSI_mask,1.0,1.0,1.0,1.0
traffic,NeurIPS2023-One-Fits-All,TSI_noise,1.0,1.0,1.0,1.0
traffic,NeurIPS2023-One-Fits-All,TSI_warp,0.0,0.0,0.0,0.0
traffic,Sundial,FSS_spearman_h96_score,-0.16919518317635057,-0.16919518317635057,-0.16919518317635057,-0.16919518317635057
traffic,Sundial,GSP_mask,0.0,0.0,0.0,0.0
traffic,Sundial,GSP_noise,0.0,0.0,0.0,0.0
traffic,Sundial,GSP_warp,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482
traffic,Sundial,LCS_clean,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482
traffic,Sundial,LCS_mask,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482
traffic,Sundial,LCS_noise,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482,-0.04226921498775482
traffic,Sundial,LCS_warp,0.0,0.0,0.0,0.0
traffic,Sundial,LTC_dir,-0.7646775245666504,-0.7646775245666504,-0.7646775245666504,-0.7646775245666504
traffic,Sundial,LTC_step,6.774936199188232,6.774936199188232,6.774936199188232,6.774936199188232
traffic,Sundial,PDS_spearman_mae_h96_score,-0.0014019226367589835,-0.0014019226367589835,-0.0014019226367589835,-0.0014019226367589835
traffic,Sundial,TSI_mask,1.0,1.0,1.0,1.0
traffic,Sundial,TSI_noise,1.0,1.0,1.0,1.0
traffic,Sundial,TSI_warp,0.0,0.0,0.0,0.0
traffic,Time-MoE,FSS_spearman_h96_score,-0.2901417287565213,-0.2901417287565213,-0.2901417287565213,-0.2901417287565213
traffic,Time-MoE,GSP_mask,0.0,0.0,0.0,0.0
traffic,Time-MoE,GSP_noise,0.0,0.0,0.0,0.0
traffic,Time-MoE,GSP_warp,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307
traffic,Time-MoE,LCS_clean,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307
traffic,Time-MoE,LCS_mask,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307
traffic,Time-MoE,LCS_noise,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307,-0.05009080469608307
traffic,Time-MoE,LCS_warp,0.0,0.0,0.0,0.0
traffic,Time-MoE,LTC_dir,-0.7103700637817383,-0.7103700637817383,-0.7103700637817383,-0.7103700637817383
traffic,Time-MoE,LTC_step,1.766379714012146,1.766379714012146,1.766379714012146,1.766379714012146
traffic,Time-MoE,PDS_spearman_mae_h96_score,-0.028885328450446324,-0.028885328450446324,-0.028885328450446324,-0.028885328450446324
traffic,Time-MoE,TSI_mask,1.0,1.0,1.0,1.0
traffic,Time-MoE,TSI_noise,1.0,1.0,1.0,1.0
traffic,Time-MoE,TSI_warp,0.0,0.0,0.0,0.0
