dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.02951781079173088
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.027812326326966286
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.02916768565773964
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.051873259246349335
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9999912977218628
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9999547004699707
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9996558427810669
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.001705484464764595
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.00035012513399124146
csi300,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,0.022355448454618454
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.07427719235420227
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.07727912068367004
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.07040618360042572
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.03038472682237625
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9999912977218628
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9999547004699707
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9996558427810669
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,0.0030019283294677734
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.0038710087537765503
csi300,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,-0.04389246553182602
csi300,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,0.3273979723453522
csi300,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.3568045198917389
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.24081399628345038
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.24081399628345038
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.25256081350217024
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.22806467069365916
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,2.9952831590340043e-261
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.06370887621450888
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.06370887621450888
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.1625817065852857
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.027059619067302833
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.15000705733894204
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.06370887621450888
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.06370887621450888
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.1625817065852857
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.027059619067302833
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.15000705733894204
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.06138866715876449
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.06138866715876449
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.15348418374870754
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.029126601655990864
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.16544778118789782
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.06138866715876449
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.06138866715876449
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.15348418374870754
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.029126601655990864
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.16544778118789782
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.06197455324956226
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.06197455324956226
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.15561069756688667
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.02817456087988674
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.16144061638216878
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.06197455324956226
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.06197455324956226
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.15561069756688667
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.02817456087988674
csi300,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.16144061638216878
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_score,-0.3416149914264679
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_raw_corr,0.3416149914264679
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_low,-0.3567480854690075
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_high,-0.3253225885331631
csi300,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_pvalue,0.0
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_score,-0.20951844522664106
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,0.20951844522664106
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.33888511539924204
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,-0.08685878017048337
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,1.7316645297128077e-06
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_score,-0.257562813489447
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,0.257562813489447
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,-0.40513798272222507
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,-0.12119707710192096
csi300,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,3.343047200968463e-09
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_score,-0.20836696701811092
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,0.20836696701811092
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.3278635065049498
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,-0.08983500735523138
csi300,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,1.9787907807520374e-06
