dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_clean,-0.03533760830760002
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_noise,-0.03479534015059471
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_mask,-0.03497611731290817
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_warp,-0.041552722454071045
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,TSI_noise,0.9999008774757385
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,TSI_mask,0.9999092817306519
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,TSI_warp,0.9921237826347351
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,GSP_noise,-0.0005422681570053101
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,GSP_mask,-0.00036149099469184875
electricity,pretrained,phase8,na,n0.01_m0.03_w1.5,0.01,0.03,1.5,GSP_warp,0.0062151141464710236
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_clean,0.0010033687576651573
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_noise,0.002768297679722309
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_mask,0.000778478104621172
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_warp,-0.002774530090391636
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,TSI_noise,0.9999008774757385
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,TSI_mask,0.9999092817306519
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,TSI_warp,0.9921237826347351
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,GSP_noise,-0.0017649289220571518
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,GSP_mask,0.00022489065304398537
electricity,pretrained,stl,p24_k4,n0.01_m0.03_w1.5,0.01,0.03,1.5,GSP_warp,0.003777898848056793
electricity,pretrained,stl,p24_k8,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_clean,-0.01524264644831419
electricity,pretrained,stl,p24_k8,n0.01_m0.03_w1.5,0.01,0.03,1.5,LCS_noise,-0.013046087697148323
