dataset,weight_mode,label_mode,metric,best,median,mean,worst
csi800,pretrained,na,CSS_seasonality_bal_acc,0.6510180995475113,0.6510180995475113,0.6510180995475113,0.6510180995475113
csi800,pretrained,na,CSS_seasonality_margin,0.6853827692493831,0.6853827692493831,0.6853827692493831,0.6853827692493831
csi800,pretrained,na,CSS_seasonality_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
csi800,pretrained,na,CSS_trend_bal_acc,0.5441176470588236,0.5441176470588236,0.5441176470588236,0.5441176470588236
csi800,pretrained,na,CSS_trend_margin,0.6360055453692642,0.6360055453692642,0.6360055453692642,0.6360055453692642
csi800,pretrained,na,CSS_trend_pvalue,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
csi800,pretrained,na,CSS_volatility_bal_acc,0.6018099547511313,0.6018099547511313,0.6018099547511313,0.6018099547511313
csi800,pretrained,na,CSS_volatility_margin,0.6570902295405714,0.6570902295405714,0.6570902295405714,0.6570902295405714
csi800,pretrained,na,CSS_volatility_pvalue,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
csi800,pretrained,na,FSS_pearson_h192_ci_high,-0.013657110906808555,-0.013657110906808555,-0.013657110906808555,-0.013657110906808555
csi800,pretrained,na,FSS_pearson_h192_ci_low,-0.041599084891518874,-0.041599084891518874,-0.041599084891518874,-0.041599084891518874
csi800,pretrained,na,FSS_pearson_h192_pvalue,0.0001518225378141808,0.0001518225378141808,0.0001518225378141808,0.0001518225378141808
csi800,pretrained,na,FSS_pearson_h192_raw_corr,0.026801327194908384,0.026801327194908384,0.026801327194908384,0.026801327194908384
csi800,pretrained,na,FSS_pearson_h192_score,-0.026801327194908384,-0.026801327194908384,-0.026801327194908384,-0.026801327194908384
csi800,pretrained,na,FSS_pearson_h336_ci_high,-0.010047029619409367,-0.010047029619409367,-0.010047029619409367,-0.010047029619409367
csi800,pretrained,na,FSS_pearson_h336_ci_low,-0.03512123778249461,-0.03512123778249461,-0.03512123778249461,-0.03512123778249461
csi800,pretrained,na,FSS_pearson_h336_pvalue,0.001505042700876359,0.001505042700876359,0.001505042700876359,0.001505042700876359
csi800,pretrained,na,FSS_pearson_h336_raw_corr,0.022459187686974424,0.022459187686974424,0.022459187686974424,0.022459187686974424
csi800,pretrained,na,FSS_pearson_h336_score,-0.022459187686974424,-0.022459187686974424,-0.022459187686974424,-0.022459187686974424
csi800,pretrained,na,FSS_pearson_h720_ci_high,-0.007698953876848784,-0.007698953876848784,-0.007698953876848784,-0.007698953876848784
csi800,pretrained,na,FSS_pearson_h720_ci_low,-0.03180022597426113,-0.03180022597426113,-0.03180022597426113,-0.03180022597426113
csi800,pretrained,na,FSS_pearson_h720_pvalue,0.005991502569673204,0.005991502569673204,0.005991502569673204,0.005991502569673204
csi800,pretrained,na,FSS_pearson_h720_raw_corr,0.01944895164487357,0.01944895164487357,0.01944895164487357,0.01944895164487357
csi800,pretrained,na,FSS_pearson_h720_score,-0.01944895164487357,-0.01944895164487357,-0.01944895164487357,-0.01944895164487357
csi800,pretrained,na,FSS_pearson_h96_ci_high,-0.055280910968500116,-0.055280910968500116,-0.055280910968500116,-0.055280910968500116
csi800,pretrained,na,FSS_pearson_h96_ci_low,-0.08477287369778312,-0.08477287369778312,-0.08477287369778312,-0.08477287369778312
csi800,pretrained,na,FSS_pearson_h96_pvalue,8.84766621174231e-24,8.84766621174231e-24,8.84766621174231e-24,8.84766621174231e-24
csi800,pretrained,na,FSS_pearson_h96_raw_corr,0.07107785042789365,0.07107785042789365,0.07107785042789365,0.07107785042789365
csi800,pretrained,na,FSS_pearson_h96_score,-0.07107785042789365,-0.07107785042789365,-0.07107785042789365,-0.07107785042789365
csi800,pretrained,na,FSS_pearson_havg_ci_high,-0.0003424726202123164,-0.0003424726202123164,-0.0003424726202123164,-0.0003424726202123164
csi800,pretrained,na,FSS_pearson_havg_ci_low,-0.024349999968898,-0.024349999968898,-0.024349999968898,-0.024349999968898
csi800,pretrained,na,FSS_pearson_havg_pvalue,0.09128876992287135,0.09128876992287135,0.09128876992287135,0.09128876992287135
csi800,pretrained,na,FSS_pearson_havg_raw_corr,0.011950959652562314,0.011950959652562314,0.011950959652562314,0.011950959652562314
csi800,pretrained,na,FSS_pearson_havg_score,-0.011950959652562314,-0.011950959652562314,-0.011950959652562314,-0.011950959652562314
csi800,pretrained,na,FSS_spearman_h192_ci_high,-0.04327289611659969,-0.04327289611659969,-0.04327289611659969,-0.04327289611659969
csi800,pretrained,na,FSS_spearman_h192_ci_low,-0.07178679406118996,-0.07178679406118996,-0.07178679406118996,-0.07178679406118996
csi800,pretrained,na,FSS_spearman_h192_pvalue,7.839914128066705e-16,7.839914128066705e-16,7.839914128066705e-16,7.839914128066705e-16
csi800,pretrained,na,FSS_spearman_h192_raw_corr,0.05696647027883621,0.05696647027883621,0.05696647027883621,0.05696647027883621
csi800,pretrained,na,FSS_spearman_h192_score,-0.05696647027883621,-0.05696647027883621,-0.05696647027883621,-0.05696647027883621
csi800,pretrained,na,FSS_spearman_h336_ci_high,-0.026677202430037593,-0.026677202430037593,-0.026677202430037593,-0.026677202430037593
csi800,pretrained,na,FSS_spearman_h336_ci_low,-0.053384159669054715,-0.053384159669054715,-0.053384159669054715,-0.053384159669054715
csi800,pretrained,na,FSS_spearman_h336_pvalue,1.254267387414756e-08,1.254267387414756e-08,1.254267387414756e-08,1.254267387414756e-08
csi800,pretrained,na,FSS_spearman_h336_raw_corr,0.04027023569038986,0.04027023569038986,0.04027023569038986,0.04027023569038986
csi800,pretrained,na,FSS_spearman_h336_score,-0.04027023569038986,-0.04027023569038986,-0.04027023569038986,-0.04027023569038986
csi800,pretrained,na,FSS_spearman_h720_ci_high,-0.02824867944843041,-0.02824867944843041,-0.02824867944843041,-0.02824867944843041
csi800,pretrained,na,FSS_spearman_h720_ci_low,-0.05562756639647054,-0.05562756639647054,-0.05562756639647054,-0.05562756639647054
csi800,pretrained,na,FSS_spearman_h720_pvalue,4.964927913612522e-09,4.964927913612522e-09,4.964927913612522e-09,4.964927913612522e-09
csi800,pretrained,na,FSS_spearman_h720_raw_corr,0.04137409723358193,0.04137409723358193,0.04137409723358193,0.04137409723358193
csi800,pretrained,na,FSS_spearman_h720_score,-0.04137409723358193,-0.04137409723358193,-0.04137409723358193,-0.04137409723358193
csi800,pretrained,na,FSS_spearman_h96_ci_high,-0.0314484714628009,-0.0314484714628009,-0.0314484714628009,-0.0314484714628009
csi800,pretrained,na,FSS_spearman_h96_ci_low,-0.05962695711797958,-0.05962695711797958,-0.05962695711797958,-0.05962695711797958
csi800,pretrained,na,FSS_spearman_h96_pvalue,5.4997146735284644e-11,5.4997146735284644e-11,5.4997146735284644e-11,5.4997146735284644e-11
csi800,pretrained,na,FSS_spearman_h96_raw_corr,0.04638866311837134,0.04638866311837134,0.04638866311837134,0.04638866311837134
