dataset,weight_mode,label_mode,metric,best,median,mean,worst
ett,pretrained,na,CSS_seasonality_bal_acc,0.8142911010558069,0.8142911010558069,0.8142911010558069,0.8142911010558069
ett,pretrained,na,CSS_seasonality_margin,0.6635943253042116,0.6635943253042116,0.6635943253042116,0.6635943253042116
ett,pretrained,na,CSS_seasonality_pvalue,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901
ett,pretrained,na,CSS_trend_bal_acc,0.7275641025641025,0.7275641025641025,0.7275641025641025,0.7275641025641025
ett,pretrained,na,CSS_trend_margin,0.5638792309169446,0.5638792309169446,0.5638792309169446,0.5638792309169446
ett,pretrained,na,CSS_trend_pvalue,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901
ett,pretrained,na,CSS_volatility_bal_acc,0.7386877828054299,0.7386877828054299,0.7386877828054299,0.7386877828054299
ett,pretrained,na,CSS_volatility_margin,0.6138900686984506,0.6138900686984506,0.6138900686984506,0.6138900686984506
ett,pretrained,na,CSS_volatility_pvalue,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901
ett,pretrained,na,FSS_pearson_h192_ci_high,0.000603379747190047,0.000603379747190047,0.000603379747190047,0.000603379747190047
ett,pretrained,na,FSS_pearson_h192_ci_low,-0.026475117681547988,-0.026475117681547988,-0.026475117681547988,-0.026475117681547988
ett,pretrained,na,FSS_pearson_h192_pvalue,0.07271800190210342,0.07271800190210342,0.07271800190210342,0.07271800190210342
ett,pretrained,na,FSS_pearson_h192_raw_corr,0.012698937207460403,0.012698937207460403,0.012698937207460403,0.012698937207460403
ett,pretrained,na,FSS_pearson_h192_score,-0.012698937207460403,-0.012698937207460403,-0.012698937207460403,-0.012698937207460403
ett,pretrained,na,FSS_pearson_h336_ci_high,0.014914349559694529,0.014914349559694529,0.014914349559694529,0.014914349559694529
ett,pretrained,na,FSS_pearson_h336_ci_low,-0.011232906393706792,-0.011232906393706792,-0.011232906393706792,-0.011232906393706792
ett,pretrained,na,FSS_pearson_h336_pvalue,0.7923098802566528,0.7923098802566528,0.7923098802566528,0.7923098802566528
ett,pretrained,na,FSS_pearson_h336_raw_corr,-0.0018636093009263277,-0.0018636093009263277,-0.0018636093009263277,-0.0018636093009263277
ett,pretrained,na,FSS_pearson_h336_score,0.0018636093009263277,0.0018636093009263277,0.0018636093009263277,0.0018636093009263277
ett,pretrained,na,FSS_pearson_h720_ci_high,0.027778484951704742,0.027778484951704742,0.027778484951704742,0.027778484951704742
ett,pretrained,na,FSS_pearson_h720_ci_low,4.258066910552789e-05,4.258066910552789e-05,4.258066910552789e-05,4.258066910552789e-05
ett,pretrained,na,FSS_pearson_h720_pvalue,0.05328401178121567,0.05328401178121567,0.05328401178121567,0.05328401178121567
ett,pretrained,na,FSS_pearson_h720_raw_corr,-0.01367743220180273,-0.01367743220180273,-0.01367743220180273,-0.01367743220180273
ett,pretrained,na,FSS_pearson_h720_score,0.01367743220180273,0.01367743220180273,0.01367743220180273,0.01367743220180273
