dataset,weight_mode,label_mode,metric,best,median,mean,worst
weather,pretrained,na,CSS_seasonality_bal_acc,0.7177601809954751,0.7177601809954751,0.7177601809954751,0.7177601809954751
weather,pretrained,na,CSS_seasonality_margin,0.7364069110608482,0.7364069110608482,0.7364069110608482,0.7364069110608482
weather,pretrained,na,CSS_seasonality_pvalue,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
weather,pretrained,na,CSS_trend_bal_acc,0.8065610859728507,0.8065610859728507,0.8065610859728507,0.8065610859728507
weather,pretrained,na,CSS_trend_margin,0.761419196540909,0.761419196540909,0.761419196540909,0.761419196540909
weather,pretrained,na,CSS_trend_pvalue,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
weather,pretrained,na,CSS_volatility_bal_acc,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333
weather,pretrained,na,CSS_volatility_margin,0.7081080107804223,0.7081080107804223,0.7081080107804223,0.7081080107804223
weather,pretrained,na,CSS_volatility_pvalue,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
weather,pretrained,na,FSS_pearson_h192_ci_high,-0.020142623298971072,-0.020142623298971072,-0.020142623298971072,-0.020142623298971072
weather,pretrained,na,FSS_pearson_h192_ci_low,-0.04331035701203433,-0.04331035701203433,-0.04331035701203433,-0.04331035701203433
weather,pretrained,na,FSS_pearson_h192_pvalue,7.094913309740681e-06,7.094913309740681e-06,7.094913309740681e-06,7.094913309740681e-06
weather,pretrained,na,FSS_pearson_h192_raw_corr,0.03177111932445561,0.03177111932445561,0.03177111932445561,0.03177111932445561
weather,pretrained,na,FSS_pearson_h192_score,-0.03177111932445561,-0.03177111932445561,-0.03177111932445561,-0.03177111932445561
weather,pretrained,na,FSS_pearson_h336_ci_high,-0.004031168375084036,-0.004031168375084036,-0.004031168375084036,-0.004031168375084036
weather,pretrained,na,FSS_pearson_h336_ci_low,-0.02907086908452103,-0.02907086908452103,-0.02907086908452103,-0.02907086908452103
weather,pretrained,na,FSS_pearson_h336_pvalue,0.020813019958373494,0.020813019958373494,0.020813019958373494,0.020813019958373494
weather,pretrained,na,FSS_pearson_h336_raw_corr,0.01635761774430713,0.01635761774430713,0.01635761774430713,0.01635761774430713
weather,pretrained,na,FSS_pearson_h336_score,-0.01635761774430713,-0.01635761774430713,-0.01635761774430713,-0.01635761774430713
weather,pretrained,na,FSS_pearson_h720_ci_high,-0.06784314354086884,-0.06784314354086884,-0.06784314354086884,-0.06784314354086884
weather,pretrained,na,FSS_pearson_h720_ci_low,-0.09486070231026003,-0.09486070231026003,-0.09486070231026003,-0.09486070231026003
weather,pretrained,na,FSS_pearson_h720_pvalue,1.2650068765637268e-30,1.2650068765637268e-30,1.2650068765637268e-30,1.2650068765637268e-30
weather,pretrained,na,FSS_pearson_h720_raw_corr,0.0812824456936256,0.0812824456936256,0.0812824456936256,0.0812824456936256
weather,pretrained,na,FSS_pearson_h720_score,-0.0812824456936256,-0.0812824456936256,-0.0812824456936256,-0.0812824456936256
weather,pretrained,na,FSS_pearson_h96_ci_high,-0.013828618907546457,-0.013828618907546457,-0.013828618907546457,-0.013828618907546457
weather,pretrained,na,FSS_pearson_h96_ci_low,-0.04064999416644743,-0.04064999416644743,-0.04064999416644743,-0.04064999416644743
weather,pretrained,na,FSS_pearson_h96_pvalue,0.00011945967903049373,0.00011945967903049373,0.00011945967903049373,0.00011945967903049373
weather,pretrained,na,FSS_pearson_h96_raw_corr,0.027228624541957857,0.027228624541957857,0.027228624541957857,0.027228624541957857
weather,pretrained,na,FSS_pearson_h96_score,-0.027228624541957857,-0.027228624541957857,-0.027228624541957857,-0.027228624541957857
weather,pretrained,na,FSS_pearson_havg_ci_high,-0.017293536551438095,-0.017293536551438095,-0.017293536551438095,-0.017293536551438095
weather,pretrained,na,FSS_pearson_havg_ci_low,-0.04396776316021834,-0.04396776316021834,-0.04396776316021834,-0.04396776316021834
weather,pretrained,na,FSS_pearson_havg_pvalue,1.0780698412124158e-05,1.0780698412124158e-05,1.0780698412124158e-05,1.0780698412124158e-05
weather,pretrained,na,FSS_pearson_havg_raw_corr,0.031139884796251013,0.031139884796251013,0.031139884796251013,0.031139884796251013
weather,pretrained,na,FSS_pearson_havg_score,-0.031139884796251013,-0.031139884796251013,-0.031139884796251013,-0.031139884796251013
weather,pretrained,na,FSS_spearman_h192_ci_high,-0.05100459243755398,-0.05100459243755398,-0.05100459243755398,-0.05100459243755398
weather,pretrained,na,FSS_spearman_h192_ci_low,-0.0795670296533684,-0.0795670296533684,-0.0795670296533684,-0.0795670296533684
weather,pretrained,na,FSS_spearman_h192_pvalue,7.466459269838056e-21,7.466459269838056e-21,7.466459269838056e-21,7.466459269838056e-21
weather,pretrained,na,FSS_spearman_h192_raw_corr,0.06621209921074053,0.06621209921074053,0.06621209921074053,0.06621209921074053
weather,pretrained,na,FSS_spearman_h192_score,-0.06621209921074053,-0.06621209921074053,-0.06621209921074053,-0.06621209921074053
weather,pretrained,na,FSS_spearman_h336_ci_high,-0.0466280102192915,-0.0466280102192915,-0.0466280102192915,-0.0466280102192915
weather,pretrained,na,FSS_spearman_h336_ci_low,-0.07378918775371791,-0.07378918775371791,-0.07378918775371791,-0.07378918775371791
weather,pretrained,na,FSS_spearman_h336_pvalue,1.386822265504434e-17,1.386822265504434e-17,1.386822265504434e-17,1.386822265504434e-17
