Dataset,Horizon,FSS_Pretrained,PDS_Pretrained,FSS_Random,PDS_Random,LTC_step_Pretrained,LTC_step_Random,LTC_dir_Pretrained,LTC_dir_Random,LLS_Pretrained,LLS_Random,MCS_Pretrained,MCS_Random,TCS_Pretrained,TCS_Random,CSS_trend_Pretrained,CSS_trend_Random,CSS_season_Pretrained,CSS_season_Random,CSS_vol_Pretrained,CSS_vol_Random
electricity,96,"-0.088 [-0.088, -0.088]","-0.156 [-0.164, -0.151]","-0.273 [-0.273, -0.273]","0.217 [0.206, 0.245]","4.641 [4.641, 4.641]","3.904 [3.904, 3.904]","-0.624 [-0.624, -0.624]","-0.693 [-0.693, -0.693]","0.297 [0.297, 0.297]","0.375 [0.375, 0.375]","0.981 [0.981, 0.981]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.543 [0.543, 0.543]","0.475 [0.475, 0.475]","0.826 [0.826, 0.826]","0.643 [0.643, 0.643]","0.776 [0.776, 0.776]","0.650 [0.650, 0.650]"
electricity,192,"-0.100 [-0.100, -0.100]","-0.173 [-0.178, -0.158]","-0.132 [-0.132, -0.132]","0.049 [0.033, 0.080]","4.641 [4.641, 4.641]","3.904 [3.904, 3.904]","-0.624 [-0.624, -0.624]","-0.693 [-0.693, -0.693]","0.297 [0.297, 0.297]","0.375 [0.375, 0.375]","0.981 [0.981, 0.981]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.543 [0.543, 0.543]","0.475 [0.475, 0.475]","0.826 [0.826, 0.826]","0.643 [0.643, 0.643]","0.776 [0.776, 0.776]","0.650 [0.650, 0.650]"
electricity,336,"-0.094 [-0.094, -0.094]","-0.154 [-0.161, -0.144]","-0.215 [-0.215, -0.215]","0.125 [0.104, 0.133]","4.641 [4.641, 4.641]","3.904 [3.904, 3.904]","-0.624 [-0.624, -0.624]","-0.693 [-0.693, -0.693]","0.297 [0.297, 0.297]","0.375 [0.375, 0.375]","0.981 [0.981, 0.981]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.543 [0.543, 0.543]","0.475 [0.475, 0.475]","0.826 [0.826, 0.826]","0.643 [0.643, 0.643]","0.776 [0.776, 0.776]","0.650 [0.650, 0.650]"
electricity,720,"-0.098 [-0.098, -0.098]","-0.175 [-0.177, -0.166]","-0.213 [-0.213, -0.213]","0.175 [0.167, 0.180]","4.641 [4.641, 4.641]","3.904 [3.904, 3.904]","-0.624 [-0.624, -0.624]","-0.693 [-0.693, -0.693]","0.297 [0.297, 0.297]","0.375 [0.375, 0.375]","0.981 [0.981, 0.981]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.543 [0.543, 0.543]","0.475 [0.475, 0.475]","0.826 [0.826, 0.826]","0.643 [0.643, 0.643]","0.776 [0.776, 0.776]","0.650 [0.650, 0.650]"
electricity,avg,"-0.013 [-0.013, -0.013]","-0.406 [-0.413, -0.389]","-0.127 [-0.127, -0.127]","0.338 [0.334, 0.341]","4.641 [4.641, 4.641]","3.904 [3.904, 3.904]","-0.624 [-0.624, -0.624]","-0.693 [-0.693, -0.693]","0.297 [0.297, 0.297]","0.375 [0.375, 0.375]","0.981 [0.981, 0.981]","0.981 [0.981, 0.981]","0.999 [0.999, 0.999]","1.000 [1.000, 1.000]","0.543 [0.543, 0.543]","0.475 [0.475, 0.475]","0.826 [0.826, 0.826]","0.643 [0.643, 0.643]","0.776 [0.776, 0.776]","0.650 [0.650, 0.650]"
weather,96,"-0.083 [-0.083, -0.083]","-0.204 [-0.218, -0.193]","-0.079 [-0.079, -0.079]","-0.175 [-0.180, -0.166]","5.102 [5.102, 5.102]","3.518 [3.518, 3.518]","-0.392 [-0.392, -0.392]","-0.384 [-0.384, -0.384]","0.287 [0.287, 0.287]","0.395 [0.395, 0.395]","0.990 [0.990, 0.990]","0.951 [0.951, 0.951]","0.999 [0.999, 0.999]","0.999 [0.999, 0.999]","0.807 [0.807, 0.807]","0.835 [0.835, 0.835]","0.718 [0.718, 0.718]","0.659 [0.659, 0.659]","0.708 [0.708, 0.708]","0.601 [0.601, 0.601]"
weather,192,"-0.066 [-0.066, -0.066]","-0.094 [-0.112, -0.091]","-0.095 [-0.095, -0.095]","-0.147 [-0.163, -0.138]","5.102 [5.102, 5.102]","3.518 [3.518, 3.518]","-0.392 [-0.392, -0.392]","-0.384 [-0.384, -0.384]","0.287 [0.287, 0.287]","0.395 [0.395, 0.395]","0.990 [0.990, 0.990]","0.951 [0.951, 0.951]","0.999 [0.999, 0.999]","0.999 [0.999, 0.999]","0.807 [0.807, 0.807]","0.835 [0.835, 0.835]","0.718 [0.718, 0.718]","0.659 [0.659, 0.659]","0.708 [0.708, 0.708]","0.601 [0.601, 0.601]"
weather,336,"-0.060 [-0.060, -0.060]","-0.074 [-0.095, -0.071]","-0.078 [-0.078, -0.078]","-0.057 [-0.073, -0.044]","5.102 [5.102, 5.102]","3.518 [3.518, 3.518]","-0.392 [-0.392, -0.392]","-0.384 [-0.384, -0.384]","0.287 [0.287, 0.287]","0.395 [0.395, 0.395]","0.990 [0.990, 0.990]","0.951 [0.951, 0.951]","0.999 [0.999, 0.999]","0.999 [0.999, 0.999]","0.807 [0.807, 0.807]","0.835 [0.835, 0.835]","0.718 [0.718, 0.718]","0.659 [0.659, 0.659]","0.708 [0.708, 0.708]","0.601 [0.601, 0.601]"
weather,720,"-0.130 [-0.130, -0.130]","-0.279 [-0.300, -0.273]","-0.088 [-0.088, -0.088]","-0.257 [-0.270, -0.241]","5.102 [5.102, 5.102]","3.518 [3.518, 3.518]","-0.392 [-0.392, -0.392]","-0.384 [-0.384, -0.384]","0.287 [0.287, 0.287]","0.395 [0.395, 0.395]","0.990 [0.990, 0.990]","0.951 [0.951, 0.951]","0.999 [0.999, 0.999]","0.999 [0.999, 0.999]","0.807 [0.807, 0.807]","0.835 [0.835, 0.835]","0.718 [0.718, 0.718]","0.659 [0.659, 0.659]","0.708 [0.708, 0.708]","0.601 [0.601, 0.601]"
weather,avg,"-0.088 [-0.088, -0.088]","-0.114 [-0.146, -0.108]","-0.101 [-0.101, -0.101]","-0.102 [-0.113, -0.091]","5.102 [5.102, 5.102]","3.518 [3.518, 3.518]","-0.392 [-0.392, -0.392]","-0.384 [-0.384, -0.384]","0.287 [0.287, 0.287]","0.395 [0.395, 0.395]","0.990 [0.990, 0.990]","0.951 [0.951, 0.951]","0.999 [0.999, 0.999]","0.999 [0.999, 0.999]","0.807 [0.807, 0.807]","0.835 [0.835, 0.835]","0.718 [0.718, 0.718]","0.659 [0.659, 0.659]","0.708 [0.708, 0.708]","0.601 [0.601, 0.601]"
