dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
weather,pretrained,na,CSS_seasonality_bal_acc,0.7177601809954751,0.7177601809954751,0.7177601809954751,0.7177601809954751,0.0590120663650075
weather,random-reset,na,CSS_seasonality_bal_acc,0.6587481146304676,0.6587481146304676,0.6587481146304676,0.6587481146304676,0.0590120663650075
weather,pretrained,na,CSS_seasonality_margin,0.7364069110608482,0.7364069110608482,0.7364069110608482,0.7364069110608482,0.0642796163708036
weather,random-reset,na,CSS_seasonality_margin,0.6721272946900446,0.6721272946900446,0.6721272946900446,0.6721272946900446,0.0642796163708036
weather,pretrained,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
weather,random-reset,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
weather,pretrained,na,CSS_trend_bal_acc,0.8065610859728507,0.8065610859728507,0.8065610859728507,0.8065610859728507,-0.028657616892911
weather,random-reset,na,CSS_trend_bal_acc,0.8352187028657617,0.8352187028657617,0.8352187028657617,0.8352187028657617,-0.028657616892911
weather,pretrained,na,CSS_trend_margin,0.761419196540909,0.761419196540909,0.761419196540909,0.761419196540909,0.0200054265691612
weather,random-reset,na,CSS_trend_margin,0.7414137699717477,0.7414137699717477,0.7414137699717477,0.7414137699717477,0.0200054265691612
weather,pretrained,na,CSS_trend_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
weather,random-reset,na,CSS_trend_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
weather,pretrained,na,CSS_volatility_bal_acc,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.1072775263951734
weather,random-reset,na,CSS_volatility_bal_acc,0.6010558069381599,0.6010558069381599,0.6010558069381599,0.6010558069381599,0.1072775263951734
weather,pretrained,na,CSS_volatility_margin,0.7081080107804223,0.7081080107804223,0.7081080107804223,0.7081080107804223,0.0616913425410933
weather,random-reset,na,CSS_volatility_margin,0.646416668239329,0.646416668239329,0.646416668239329,0.646416668239329,0.0616913425410933
weather,pretrained,na,CSS_volatility_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,-0.0163934426229508
weather,random-reset,na,CSS_volatility_pvalue,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0327868852459016,-0.0163934426229508
weather,pretrained,na,FSS_pearson_h192_score,-0.0317711193244556,-0.0317711193244556,-0.0317711193244556,-0.0317711193244556,-0.01843742244107
weather,random-reset,na,FSS_pearson_h192_score,-0.0133336968833856,-0.0133336968833856,-0.0133336968833856,-0.0133336968833856,-0.01843742244107
weather,pretrained,na,FSS_pearson_h336_score,-0.0163576177443071,-0.0163576177443071,-0.0163576177443071,-0.0163576177443071,-0.0235998443137959
weather,random-reset,na,FSS_pearson_h336_score,0.0072422265694888,0.0072422265694888,0.0072422265694888,0.0072422265694888,-0.0235998443137959
weather,pretrained,na,FSS_pearson_h720_score,-0.0812824456936256,-0.0812824456936256,-0.0812824456936256,-0.0812824456936256,-0.0851550902678922
weather,random-reset,na,FSS_pearson_h720_score,0.0038726445742666,0.0038726445742666,0.0038726445742666,0.0038726445742666,-0.0851550902678922
weather,pretrained,na,FSS_pearson_h96_score,-0.0272286245419578,-0.0272286245419578,-0.0272286245419578,-0.0272286245419578,0.0239246415556373
weather,random-reset,na,FSS_pearson_h96_score,-0.0511532660975952,-0.0511532660975952,-0.0511532660975952,-0.0511532660975952,0.0239246415556373
weather,pretrained,na,FSS_pearson_havg_score,-0.031139884796251,-0.031139884796251,-0.031139884796251,-0.031139884796251,-0.0258965410830852
weather,random-reset,na,FSS_pearson_havg_score,-0.0052433437131657,-0.0052433437131657,-0.0052433437131657,-0.0052433437131657,-0.0258965410830852
weather,pretrained,na,FSS_spearman_h192_score,-0.0662120992107405,-0.0662120992107405,-0.0662120992107405,-0.0662120992107405,0.0285397788376003
weather,random-reset,na,FSS_spearman_h192_score,-0.0947518780483409,-0.0947518780483409,-0.0947518780483409,-0.0947518780483409,0.0285397788376003
weather,pretrained,na,FSS_spearman_h336_score,-0.0603602686363586,-0.0603602686363586,-0.0603602686363586,-0.0603602686363586,0.0171607650387995
weather,random-reset,na,FSS_spearman_h336_score,-0.0775210336751582,-0.0775210336751582,-0.0775210336751582,-0.0775210336751582,0.0171607650387995
weather,pretrained,na,FSS_spearman_h720_score,-0.1303715729481545,-0.1303715729481545,-0.1303715729481545,-0.1303715729481545,-0.0426123418888124
weather,random-reset,na,FSS_spearman_h720_score,-0.0877592310593421,-0.0877592310593421,-0.0877592310593421,-0.0877592310593421,-0.0426123418888124
weather,pretrained,na,FSS_spearman_h96_score,-0.0833408130366866,-0.0833408130366866,-0.0833408130366866,-0.0833408130366866,-0.0038450836665376
weather,random-reset,na,FSS_spearman_h96_score,-0.0794957293701489,-0.0794957293701489,-0.0794957293701489,-0.0794957293701489,-0.0038450836665376
weather,pretrained,na,FSS_spearman_havg_score,-0.0876294589035489,-0.0876294589035489,-0.0876294589035489,-0.0876294589035489,0.0131533312232733
weather,random-reset,na,FSS_spearman_havg_score,-0.1007827901268222,-0.1007827901268222,-0.1007827901268222,-0.1007827901268222,0.0131533312232733
weather,pretrained,na,LLS_avgk,0.2872681795991098,0.2872681795991098,0.2872681795991098,0.2872681795991098,-0.1080461142047085
weather,random-reset,na,LLS_avgk,0.3953142938038183,0.3953142938038183,0.3953142938038183,0.3953142938038183,-0.1080461142047085
weather,pretrained,na,LLS_k10,0.3003325493583396,0.3003325493583396,0.3003325493583396,0.3003325493583396,-0.0956052078489638
weather,random-reset,na,LLS_k10,0.3959377572073034,0.3959377572073034,0.3959377572073034,0.3959377572073034,-0.0956052078489638
weather,pretrained,na,LLS_k20,0.2566018215258431,0.2566018215258431,0.2566018215258431,0.2566018215258431,-0.1054260718833924
weather,random-reset,na,LLS_k20,0.3620278934092355,0.3620278934092355,0.3620278934092355,0.3620278934092355,-0.1054260718833924
weather,pretrained,na,LLS_k50,0.3048701679131466,0.3048701679131466,0.3048701679131466,0.3048701679131466,-0.1231070628817692
weather,random-reset,na,LLS_k50,0.4279772307949158,0.4279772307949158,0.4279772307949158,0.4279772307949158,-0.1231070628817692
weather,pretrained,na,LTC_dir,-0.3918085396289825,-0.3918085396289825,-0.3918085396289825,-0.3918085396289825,-0.0076784789562224
weather,random-reset,na,LTC_dir,-0.38413006067276,-0.38413006067276,-0.38413006067276,-0.38413006067276,-0.0076784789562224
weather,pretrained,na,LTC_step,5.10177755355835,5.10177755355835,5.10177755355835,5.10177755355835,1.5837111473083496
weather,random-reset,na,LTC_step,3.51806640625,3.51806640625,3.51806640625,3.51806640625,1.5837111473083496
weather,pretrained,na,MCS_k10,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.0776699029126214
weather,random-reset,na,MCS_k10,0.912621359223301,0.912621359223301,0.912621359223301,0.912621359223301,0.0776699029126214
weather,pretrained,na,MCS_k20,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.0388349514563108
weather,random-reset,na,MCS_k20,0.9514563106796116,0.9514563106796116,0.9514563106796116,0.9514563106796116,0.0388349514563108
weather,pretrained,na,MCS_k50,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.0097087378640776
weather,random-reset,na,MCS_k50,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.0097087378640776
weather,pretrained,na,PDS_pearson_mae_h192_score,0.008495106857068,0.0049510626251329,0.0055772338456656,0.0032855320547959,0.0335649397569806
weather,random-reset,na,PDS_pearson_mae_h192_score,-0.0270451004109704,-0.0286138771318477,-0.0282248486112272,-0.0290155682908634,0.0335649397569806
weather,pretrained,na,PDS_pearson_mae_h336_score,-0.0653314439421697,-0.0684423195746261,-0.0679300304172075,-0.0700163277348269,-0.059724972167881
weather,random-reset,na,PDS_pearson_mae_h336_score,-0.0056412689906876,-0.0087173474067451,-0.0083206650310748,-0.0106033786957916,-0.059724972167881
weather,pretrained,na,PDS_pearson_mae_h720_score,-0.0949740791397128,-0.096873789320411,-0.0974128741999705,-0.1003907541397875,-0.0335395144497532
weather,random-reset,na,PDS_pearson_mae_h720_score,-0.0593625212600606,-0.0633342748706578,-0.0630062948152043,-0.0663220883148944,-0.0335395144497532
weather,pretrained,na,PDS_pearson_mae_h96_score,-0.0337477285458059,-0.038164173956099,-0.0371022539610544,-0.0393948593812584,0.0477447069535936
weather,random-reset,na,PDS_pearson_mae_h96_score,-0.0818205205457285,-0.0859088809096926,-0.085088343582628,-0.0875356292924631,0.0477447069535936
weather,pretrained,na,PDS_pearson_mae_havg_score,-0.102827204591198,-0.1068907660941684,-0.1071438030329898,-0.111713438413603,-0.0540173929439706
weather,random-reset,na,PDS_pearson_mae_havg_score,-0.052868963366182,-0.0528733731501977,-0.0533081848904413,-0.0541822181549441,-0.0540173929439706
weather,pretrained,na,PDS_pearson_mse_h192_score,0.0282677474794474,0.0277505226971316,0.0278945692389718,0.0276654375403365,0.0329859249584102
weather,random-reset,na,PDS_pearson_mse_h192_score,-0.0044728795246809,-0.0052354022612786,-0.0050594879223838,-0.0054701819811919,0.0329859249584102
weather,pretrained,na,PDS_pearson_mse_h336_score,-0.0073069214489052,-0.0080876726455318,-0.0078346117395073,-0.0081092411240851,-0.0096897232531055
