dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
ett,pretrained,na,CSS_seasonality_bal_acc,0.7758295625942685,0.7758295625942685,0.7758295625942685,0.7758295625942685,0.0476998491704374
ett,random-reset,na,CSS_seasonality_bal_acc,0.728129713423831,0.728129713423831,0.728129713423831,0.728129713423831,0.0476998491704374
ett,pretrained,na,CSS_trend_bal_acc,0.7181372549019608,0.7181372549019608,0.7181372549019608,0.7181372549019608,-0.0292232277526395
ett,random-reset,na,CSS_trend_bal_acc,0.7473604826546003,0.7473604826546003,0.7473604826546003,0.7473604826546003,-0.0292232277526395
ett,pretrained,na,CSS_volatility_bal_acc,0.6798642533936652,0.6798642533936652,0.6798642533936652,0.6798642533936652,0.0297888386123681
ett,random-reset,na,CSS_volatility_bal_acc,0.650075414781297,0.650075414781297,0.650075414781297,0.650075414781297,0.0297888386123681
ett,pretrained,na,FSS_spearman_h192_score,0.0101562124544735,0.0101562124544735,0.0101562124544735,0.0101562124544735,0.003600215129113
ett,random-reset,na,FSS_spearman_h192_score,0.0065559973253605,0.0065559973253605,0.0065559973253605,0.0065559973253605,0.003600215129113
ett,pretrained,na,FSS_spearman_h336_score,-0.004653533219598,-0.004653533219598,-0.004653533219598,-0.004653533219598,-0.0303172431948658
ett,random-reset,na,FSS_spearman_h336_score,0.0256637099752678,0.0256637099752678,0.0256637099752678,0.0256637099752678,-0.0303172431948658
ett,pretrained,na,FSS_spearman_h720_score,0.0091254037603518,0.0091254037603518,0.0091254037603518,0.0091254037603518,-0.0081410045893074
ett,random-reset,na,FSS_spearman_h720_score,0.0172664083496593,0.0172664083496593,0.0172664083496593,0.0172664083496593,-0.0081410045893074
ett,pretrained,na,FSS_spearman_h96_score,0.0030203711591463,0.0030203711591463,0.0030203711591463,0.0030203711591463,-0.0102702867805116
ett,random-reset,na,FSS_spearman_h96_score,0.0132906579396579,0.0132906579396579,0.0132906579396579,0.0132906579396579,-0.0102702867805116
ett,pretrained,na,FSS_spearman_havg_score,0.0124734045651682,0.0124734045651682,0.0124734045651682,0.0124734045651682,0.0032707380658269
ett,random-reset,na,FSS_spearman_havg_score,0.0092026664993412,0.0092026664993412,0.0092026664993412,0.0092026664993412,0.0032707380658269
ett,pretrained,na,LLS_avgk,0.2504028918684715,0.2504028918684715,0.2504028918684715,0.2504028918684715,-0.0421661984810415
ett,random-reset,na,LLS_avgk,0.292569090349513,0.292569090349513,0.292569090349513,0.292569090349513,-0.0421661984810415
ett,pretrained,na,LTC_dir,-0.3356397151947021,-0.3356397151947021,-0.3356397151947021,-0.3356397151947021,0.0920104086399078
