dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.04704403504729271
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.04905039072036743
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.04618224501609802
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.04262435436248779
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9999134540557861
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9997797012329102
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9964677691459656
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,0.0020063556730747223
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.0008617900311946869
csi800,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,-0.004419680684804916
csi800,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,4.3042192459106445
csi800,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.4899655878543854
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.04638866311837134
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.04638866311837134
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.05962695711797958
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.0314484714628009
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,5.4997146735284644e-11
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.0022149766539636766
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.0022149766539636766
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.08435913928087976
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.09130252734051332
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.9601249680897592
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.0022149766539636766
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.0022149766539636766
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.08435913928087976
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.09130252734051332
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.9601249680897592
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.00944221641432348
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.00944221641432348
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.10015505955503994
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.0747384105614311
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.8312212609451202
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.00944221641432348
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.00944221641432348
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.10015505955503994
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.0747384105614311
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.8312212609451202
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.0134088610510294
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.0134088610510294
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.09140250846713688
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,0.07951000731718938
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,0.7621337994771742
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.0134088610510294
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.0134088610510294
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.09140250846713688
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,0.07951000731718938
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,0.7621337994771742
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_score,-0.07107785042789365
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_raw_corr,0.07107785042789365
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_low,-0.08477287369778312
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_high,-0.055280910968500116
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_pvalue,8.84766621174231e-24
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_score,0.03088881929163797
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,-0.03088881929163797
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.05621960921760995
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,0.10772578859236263
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,0.48555730992844953
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_score,0.03773406176326944
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,-0.03773406176326944
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,-0.03306813654722464
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,0.1014879983291432
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.39419136698687685
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_score,0.030718640604522337
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,-0.030718640604522337
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.044884525180977845
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,0.1034814125230432
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,0.4879655346869957
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_score,0.038342767868036406
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,-0.038342767868036406
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,-0.028819786704089786
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,0.10270109032007994
csi800,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.38660222963746926
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_score,0.03576196238469899
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,-0.03576196238469899
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.03735769108369977
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,0.1090617457751357
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,0.419389221711016
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_score,0.04460199177401964
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,-0.04460199177401964
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,-0.013371898553331672
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,0.10643932503621092
csi800,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.3138086559677641
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_score,-0.05696647027883621
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_raw_corr,0.05696647027883621
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_ci_low,-0.07178679406118996
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_ci_high,-0.04327289611659969
csi800,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h192_pvalue,7.839914128066705e-16
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h192_score,-0.04786518593859077
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h192_raw_corr,0.04786518593859077
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h192_ci_low,-0.1327494296535692
csi800,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h192_ci_high,0.0367866072500946
