dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.031335994601249695
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.033342525362968445
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.03075920045375824
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.056997500360012054
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9999394416809082
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9999740719795227
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9988306760787964
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,0.00200653076171875
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.0005767941474914551
electricity,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,0.02566150575876236
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.036709077656269073
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.036581724882125854
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.038174405694007874
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.04227222129702568
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.9999394416809082
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9999740719795227
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9988306760787964
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.000127352774143219
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,0.0014653280377388
electricity,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,0.005563143640756607
electricity,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,0.8178804516792297
electricity,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.5932425260543823
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.08994281160901087
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.08994281160901087
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.10415599845580538
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.07501595243357576
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,3.93636018442174e-37
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.17226669341733328
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.17226669341733328
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.25849275122637444
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,-0.07738566449012226
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,8.937964186267924e-05
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.17226669341733328
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.17226669341733328
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.25849275122637444
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,-0.07738566449012226
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,8.937964186267924e-05
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.17270300108147077
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.17270300108147077
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.24593747519430795
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,-0.0815741339622618
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,8.571811279879546e-05
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.17270300108147077
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.17270300108147077
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.24593747519430795
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,-0.0815741339622618
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,8.571811279879546e-05
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.17556019043041396
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.17556019043041396
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.25327989766499404
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,-0.09620694533081631
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,6.501600141063816e-05
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.17556019043041396
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.17556019043041396
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.25327989766499404
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,-0.09620694533081631
electricity,pretrained,na,na,clean_k50,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,6.501600141063816e-05
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_score,-0.031117580831050873
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_raw_corr,0.031117580831050873
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_low,-0.04311802182346582
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_ci_high,-0.01869655242189765
electricity,pretrained,na,na,clean,0.0,0.0,0.0,FSS_pearson_h96_pvalue,1.0977571037074085e-05
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_score,-0.18272925286580652
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,0.18272925286580652
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.3009880470775892
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,-0.11600634431030497
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,3.1872451362710577e-05
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_score,-0.07970222118331324
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,0.07970222118331324
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,-0.28398623228221925
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,-0.05915154250347868
electricity,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.07155879524118054
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_score,-0.18123289531854103
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_raw_corr,0.18123289531854103
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_low,-0.29635900849768
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_ci_high,-0.10835372658745489
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mae_h96_pvalue,3.7070727177681164e-05
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_score,-0.08228259495883378
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_raw_corr,0.08228259495883378
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_low,-0.27620765070352815
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_ci_high,-0.06232203063948772
electricity,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_pearson_mse_h96_pvalue,0.06282220839544352
