dataset,weight_mode,label_mode,stl_setting,perturb_setting,noise_scale,mask_p,warp_ratio,metric,value
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,-0.06948178261518478
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,-0.06283584982156754
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,-0.06972254812717438
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,-0.11002954840660095
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.997667670249939
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9998624920845032
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9963321685791016
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.0066459327936172485
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,0.0002407655119895935
weather,pretrained,phase8,na,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,0.04054776579141617
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_clean,0.08912984281778336
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_noise,0.10522012412548065
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_mask,0.09486715495586395
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,LCS_warp,0.058216214179992676
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_noise,0.997667670249939
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_mask,0.9998624920845032
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,TSI_warp,0.9963321685791016
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_noise,-0.016090281307697296
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_mask,-0.005737312138080597
weather,pretrained,stl,p24_k8,n0.02_m0.05_w2,0.02,0.05,2.0,GSP_warp,0.03091362863779068
weather,pretrained,na,na,clean,0.0,0.0,0.0,LTC_step,5.10177755355835
weather,pretrained,na,na,clean,0.0,0.0,0.0,LTC_dir,-0.39180853962898254
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_score,-0.08334081303668663
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_raw_corr,0.08334081303668663
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_low,-0.09666823087952034
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_ci_high,-0.0691431705886737
weather,pretrained,na,na,clean,0.0,0.0,0.0,FSS_spearman_h96_pvalue,4.1981134205544283e-32
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.218371033040598
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.218371033040598
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.3048185709412301
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_high,-0.12305136979917022
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mae_h96_pvalue,6.055588155429797e-07
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_score,-0.218371033040598
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_raw_corr,0.218371033040598
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_low,-0.3048185709412301
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_ci_high,-0.12305136979917022
weather,pretrained,na,na,clean_k10,0.0,0.0,0.0,PDS_spearman_mse_h96_pvalue,6.055588155429797e-07
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_score,-0.20384242766808444
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_raw_corr,0.20384242766808444
weather,pretrained,na,na,clean_k20,0.0,0.0,0.0,PDS_spearman_mae_h96_ci_low,-0.30272351761767197
