dataset,model,metric,value
electricity,tsfm_pretrained,MCS_in,0.987012987012987
electricity,tsfm_pretrained,MCS_ood,0.987012987012987
electricity,tsfm_pretrained,PDS_in_spearman,0.101792943898207
electricity,tsfm_pretrained,PDS_ood_spearman,0.013617960986382
electricity,tsfm_pretrained,PDS_in_pvalue,0.3783661703337958
electricity,tsfm_pretrained,PDS_ood_pvalue,0.906425803457922
electricity,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.5458839406207827
electricity,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5029015202379645
electricity,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.1967213114754098
electricity,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.5708502024291497
electricity,tsfm_pretrained,CSS_layer0_trend_margin,0.5020326478643641
electricity,tsfm_pretrained,CSS_layer0_trend_pvalue,0.1639344262295081
electricity,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.4281376518218623
electricity,tsfm_pretrained,CSS_layer0_volatility_margin,0.5021781335945393
electricity,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.8688524590163934
electricity,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.7392037786774629
electricity,tsfm_pretrained,CSS_layer12_seasonality_margin,0.7284237228650009
electricity,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.5226045883940621
electricity,tsfm_pretrained,CSS_layer12_trend_margin,0.5422735454307318
electricity,tsfm_pretrained,CSS_layer12_trend_pvalue,0.2459016393442623
electricity,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.689608636977058
electricity,tsfm_pretrained,CSS_layer12_volatility_margin,0.6511991295868476
electricity,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.844804318488529
electricity,tsfm_pretrained,CSS_layer25_seasonality_margin,0.7588062874400242
electricity,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.4939271255060729
electricity,tsfm_pretrained,CSS_layer25_trend_margin,0.5757465909076079
electricity,tsfm_pretrained,CSS_layer25_trend_pvalue,0.4754098360655737
electricity,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.7280701754385965
electricity,tsfm_pretrained,CSS_layer25_volatility_margin,0.7033107347550748
electricity,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.8063427800269906
electricity,tsfm_pretrained,CSS_layer50_seasonality_margin,0.7714329275384666
electricity,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.5836707152496626
electricity,tsfm_pretrained,CSS_layer50_trend_margin,0.621096698641122
electricity,tsfm_pretrained,CSS_layer50_trend_pvalue,0.081967213114754
electricity,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.7139001349527665
electricity,tsfm_pretrained,CSS_layer50_volatility_margin,0.7261824436066788
electricity,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.0163934426229508
electricity,tsfm_pretrained,FSS_baseline_cmp,-0.0348729548354142
electricity,tsfm_pretrained,PDS_baseline_cmp,0.101792943898207
electricity,tsfm_pretrained,LTC_step_baseline_cmp,4.124797344207764
electricity,tsfm_pretrained,LTC_dir_baseline_cmp,-0.5216158032417297
electricity,tsfm_pretrained,FSS_baseline_cmp_pvalue,0.0592769784286636
electricity,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.3783661703337958
