dataset,model,metric,value
csi300,tsfm_pretrained,MCS_in,1.0
csi300,tsfm_pretrained,MCS_ood,1.0
csi300,tsfm_pretrained,PDS_in_spearman,0.01996661248517331
csi300,tsfm_pretrained,PDS_ood_spearman,-0.1196239511487941
csi300,tsfm_pretrained,PDS_in_pvalue,0.8413352121602671
csi300,tsfm_pretrained,PDS_ood_pvalue,0.22875922308306632
csi300,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.5718325791855203
csi300,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5087334488856696
csi300,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.10891089108910891
csi300,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.4177978883861237
csi300,tsfm_pretrained,CSS_layer0_trend_margin,0.5063697226781078
csi300,tsfm_pretrained,CSS_layer0_trend_pvalue,0.9405940594059405
csi300,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.5145173453996983
csi300,tsfm_pretrained,CSS_layer0_volatility_margin,0.5057588175687534
csi300,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.32673267326732675
csi300,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.6600678733031675
csi300,tsfm_pretrained,CSS_layer12_seasonality_margin,0.585585065517157
csi300,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.009900990099009901
csi300,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.47662141779788836
csi300,tsfm_pretrained,CSS_layer12_trend_margin,0.548022902315035
csi300,tsfm_pretrained,CSS_layer12_trend_pvalue,0.6732673267326733
csi300,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.7183257918552036
csi300,tsfm_pretrained,CSS_layer12_volatility_margin,0.5859126943235788
csi300,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.009900990099009901
csi300,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.767156862745098
csi300,tsfm_pretrained,CSS_layer25_seasonality_margin,0.5845520082186513
csi300,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.009900990099009901
csi300,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.49547511312217196
csi300,tsfm_pretrained,CSS_layer25_trend_margin,0.5623206979727594
csi300,tsfm_pretrained,CSS_layer25_trend_pvalue,0.48514851485148514
csi300,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.777526395173454
csi300,tsfm_pretrained,CSS_layer25_volatility_margin,0.6014755901085979
csi300,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.009900990099009901
csi300,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.6408371040723981
csi300,tsfm_pretrained,CSS_layer50_seasonality_margin,0.6575735552985896
csi300,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.009900990099009901
csi300,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.5148944193061841
csi300,tsfm_pretrained,CSS_layer50_trend_margin,0.6057116766753412
csi300,tsfm_pretrained,CSS_layer50_trend_pvalue,0.37623762376237624
csi300,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.719079939668175
csi300,tsfm_pretrained,CSS_layer50_volatility_margin,0.66344574672747
csi300,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.009900990099009901
csi300,tsfm_pretrained,FSS_baseline_cmp,-0.20105490640693294
csi300,tsfm_pretrained,PDS_baseline_cmp,0.01996661248517331
csi300,tsfm_pretrained,LTC_step_baseline_cmp,4.376239776611328
csi300,tsfm_pretrained,LTC_dir_baseline_cmp,-0.4400096833705902
csi300,tsfm_pretrained,FSS_baseline_cmp_pvalue,4.86459312486958e-49
csi300,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.8413352121602671
csi300,lstm,FSS_baseline_cmp,-0.7433397427274265
csi300,lstm,PDS_baseline_cmp,-0.06453455168475157
csi300,lstm,LTC_step_baseline_cmp,0.07323437929153442
csi300,lstm,LTC_dir_baseline_cmp,-0.3868377208709717
csi300,lstm,FSS_baseline_cmp_pvalue,0.0
csi300,lstm,PDS_baseline_cmp_pvalue,0.5172200469613734
csi300,tcn,FSS_baseline_cmp,-0.6311916827799722
csi300,tcn,PDS_baseline_cmp,-0.6491565259412204
csi300,tcn,LTC_step_baseline_cmp,0.44327208399772644
csi300,tcn,LTC_dir_baseline_cmp,-0.4115018844604492
csi300,tcn,FSS_baseline_cmp_pvalue,0.0
csi300,tcn,PDS_baseline_cmp_pvalue,1.204189868994667e-13
csi300,transformer,FSS_baseline_cmp,-0.6001757106779296
csi300,transformer,PDS_baseline_cmp,-0.5557813117778853
csi300,transformer,LTC_step_baseline_cmp,7.232937812805176
csi300,transformer,LTC_dir_baseline_cmp,-0.21502108871936798
csi300,transformer,FSS_baseline_cmp_pvalue,0.0
csi300,transformer,PDS_baseline_cmp_pvalue,1.1011937090984277e-09
