dataset,model,metric,value
master_csi300_market,tsfm_pretrained,MCS_in,1.0
master_csi300_market,tsfm_pretrained,MCS_ood,0.984375
master_csi300_market,tsfm_pretrained,PDS_in_spearman,-0.07454212454212453
master_csi300_market,tsfm_pretrained,PDS_ood_spearman,-0.21057692307692308
master_csi300_market,tsfm_pretrained,PDS_in_pvalue,0.5582794275059981
master_csi300_market,tsfm_pretrained,PDS_ood_pvalue,0.0948801529061414
master_csi300_market,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.5
master_csi300_market,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5085395051535253
master_csi300_market,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.6097560975609756
master_csi300_market,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.46875
master_csi300_market,tsfm_pretrained,CSS_layer0_trend_margin,0.5077096312190519
master_csi300_market,tsfm_pretrained,CSS_layer0_trend_pvalue,0.7804878048780488
master_csi300_market,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.546875
master_csi300_market,tsfm_pretrained,CSS_layer0_volatility_margin,0.506984880063295
master_csi300_market,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.2926829268292683
master_csi300_market,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.53125
master_csi300_market,tsfm_pretrained,CSS_layer12_seasonality_margin,0.5442436819889709
master_csi300_market,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.21951219512195122
master_csi300_market,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.453125
master_csi300_market,tsfm_pretrained,CSS_layer12_trend_margin,0.5565000285482233
master_csi300_market,tsfm_pretrained,CSS_layer12_trend_pvalue,0.8780487804878049
master_csi300_market,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.734375
master_csi300_market,tsfm_pretrained,CSS_layer12_volatility_margin,0.5684341716908492
master_csi300_market,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.024390243902439025
master_csi300_market,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.609375
master_csi300_market,tsfm_pretrained,CSS_layer25_seasonality_margin,0.5359528124594901
master_csi300_market,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.0975609756097561
master_csi300_market,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.5
master_csi300_market,tsfm_pretrained,CSS_layer25_trend_margin,0.541654749062517
master_csi300_market,tsfm_pretrained,CSS_layer25_trend_pvalue,0.5609756097560976
master_csi300_market,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.671875
master_csi300_market,tsfm_pretrained,CSS_layer25_volatility_margin,0.5682814882714693
master_csi300_market,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.024390243902439025
master_csi300_market,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.609375
master_csi300_market,tsfm_pretrained,CSS_layer50_seasonality_margin,0.6442442685194583
master_csi300_market,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.04878048780487805
master_csi300_market,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.515625
master_csi300_market,tsfm_pretrained,CSS_layer50_trend_margin,0.6053972017548019
master_csi300_market,tsfm_pretrained,CSS_layer50_trend_pvalue,0.5365853658536586
master_csi300_market,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.65625
master_csi300_market,tsfm_pretrained,CSS_layer50_volatility_margin,0.6704829048681598
master_csi300_market,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.024390243902439025
master_csi300_market,tsfm_pretrained,FSS_baseline_cmp,-0.17156757218610497
master_csi300_market,tsfm_pretrained,PDS_baseline_cmp,-0.07454212454212453
master_csi300_market,tsfm_pretrained,LTC_step_baseline_cmp,2.6901066303253174
master_csi300_market,tsfm_pretrained,LTC_dir_baseline_cmp,-0.3836230933666229
master_csi300_market,tsfm_pretrained,FSS_baseline_cmp_pvalue,8.753686597738648e-15
master_csi300_market,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.5582794275059981
master_csi300_market,lstm,FSS_baseline_cmp,-0.8004152629510317
master_csi300_market,lstm,PDS_baseline_cmp,0.0706043956043956
master_csi300_market,lstm,LTC_step_baseline_cmp,0.042907703667879105
master_csi300_market,lstm,LTC_dir_baseline_cmp,-0.3779868483543396
master_csi300_market,lstm,FSS_baseline_cmp_pvalue,0.0
master_csi300_market,lstm,PDS_baseline_cmp_pvalue,0.5793083129688772
master_csi300_market,tcn,FSS_baseline_cmp,-0.5504928605459631
master_csi300_market,tcn,PDS_baseline_cmp,-0.11089743589743589
master_csi300_market,tcn,LTC_step_baseline_cmp,0.5003540515899658
master_csi300_market,tcn,LTC_dir_baseline_cmp,-0.39712223410606384
master_csi300_market,tcn,FSS_baseline_cmp_pvalue,4.144002477678446e-160
master_csi300_market,tcn,PDS_baseline_cmp_pvalue,0.3829961609482734
master_csi300_market,transformer,FSS_baseline_cmp,-0.48336700192649884
master_csi300_market,transformer,PDS_baseline_cmp,-0.17605311355311354
master_csi300_market,transformer,LTC_step_baseline_cmp,8.620351791381836
master_csi300_market,transformer,LTC_dir_baseline_cmp,-0.4462340772151947
master_csi300_market,transformer,FSS_baseline_cmp_pvalue,1.5369028487351207e-118
master_csi300_market,transformer,PDS_baseline_cmp_pvalue,0.16405506655901855
