dataset,model,metric,value
weather,tsfm_pretrained,MCS_in,1.0
weather,tsfm_pretrained,MCS_ood,0.9902912621359223
weather,tsfm_pretrained,PDS_in_spearman,0.2142841453235514
weather,tsfm_pretrained,PDS_ood_spearman,0.1568005095989105
weather,tsfm_pretrained,PDS_in_pvalue,0.029741241045536715
weather,tsfm_pretrained,PDS_ood_pvalue,0.11371099765825467
weather,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.5156485671191553
weather,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5264408685151718
weather,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.45901639344262296
weather,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.5043363499245852
weather,tsfm_pretrained,CSS_layer0_trend_margin,0.5135069469584277
weather,tsfm_pretrained,CSS_layer0_trend_pvalue,0.5081967213114754
weather,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.6102941176470589
weather,tsfm_pretrained,CSS_layer0_volatility_margin,0.5519476899052568
weather,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.6892911010558069
weather,tsfm_pretrained,CSS_layer12_seasonality_margin,0.6212634134978813
weather,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.873868778280543
weather,tsfm_pretrained,CSS_layer12_trend_margin,0.6501238136296961
weather,tsfm_pretrained,CSS_layer12_trend_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.6792986425339367
weather,tsfm_pretrained,CSS_layer12_volatility_margin,0.6316074937527434
weather,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.7181372549019608
weather,tsfm_pretrained,CSS_layer25_seasonality_margin,0.6474094443472488
weather,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.8453996983408748
weather,tsfm_pretrained,CSS_layer25_trend_margin,0.6952602598405455
weather,tsfm_pretrained,CSS_layer25_trend_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.7079562594268476
weather,tsfm_pretrained,CSS_layer25_volatility_margin,0.6705699704389906
weather,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.6310331825037707
weather,tsfm_pretrained,CSS_layer50_seasonality_margin,0.6897136924155011
weather,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.03278688524590164
weather,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.825603318250377
weather,tsfm_pretrained,CSS_layer50_trend_margin,0.7436978583115963
weather,tsfm_pretrained,CSS_layer50_trend_pvalue,0.01639344262295082
weather,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.7185143288084465
weather,tsfm_pretrained,CSS_layer50_volatility_margin,0.7192372287579527
weather,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.01639344262295082
weather,tsfm_pretrained,FSS_baseline_cmp,-0.052589306371136395
weather,tsfm_pretrained,PDS_baseline_cmp,0.2142841453235514
weather,tsfm_pretrained,LTC_step_baseline_cmp,5.774919033050537
weather,tsfm_pretrained,LTC_dir_baseline_cmp,-0.5267019271850586
weather,tsfm_pretrained,FSS_baseline_cmp_pvalue,0.00013713603241363186
weather,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.029741241045536715
weather,lstm,FSS_baseline_cmp,-0.990122854933063
weather,lstm,PDS_baseline_cmp,-0.1398102183367746
weather,lstm,LTC_step_baseline_cmp,0.18607725203037262
weather,lstm,LTC_dir_baseline_cmp,-0.33097755908966064
weather,lstm,FSS_baseline_cmp_pvalue,0.0
weather,lstm,PDS_baseline_cmp_pvalue,0.15897411752380897
weather,tcn,FSS_baseline_cmp,-0.9448138819989285
weather,tcn,PDS_baseline_cmp,0.00597460791635549
weather,tcn,LTC_step_baseline_cmp,1.4856020212173462
weather,tcn,LTC_dir_baseline_cmp,-0.36902081966400146
weather,tcn,FSS_baseline_cmp_pvalue,0.0
weather,tcn,PDS_baseline_cmp_pvalue,0.9522383353434807
weather,transformer,FSS_baseline_cmp,-0.8666724939966732
weather,transformer,PDS_baseline_cmp,-0.16598207617625094
weather,transformer,LTC_step_baseline_cmp,11.767047882080078
weather,transformer,LTC_dir_baseline_cmp,-0.28733187913894653
weather,transformer,FSS_baseline_cmp_pvalue,0.0
weather,transformer,PDS_baseline_cmp_pvalue,0.09381263802256594
