dataset,weight_mode,label_mode,metric,best,median,mean,worst
electricity,pretrained,na,CSS_seasonality_bal_acc,0.8257918552036199,0.8257918552036199,0.8257918552036199,0.8257918552036199
electricity,pretrained,na,CSS_seasonality_margin,0.7857326711033686,0.7857326711033686,0.7857326711033686,0.7857326711033686
electricity,pretrained,na,CSS_seasonality_pvalue,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
electricity,pretrained,na,CSS_trend_bal_acc,0.5427978883861236,0.5427978883861236,0.5427978883861236,0.5427978883861236
electricity,pretrained,na,CSS_trend_margin,0.6436518493686426,0.6436518493686426,0.6436518493686426,0.6436518493686426
electricity,pretrained,na,CSS_trend_pvalue,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.18032786885245902
electricity,pretrained,na,CSS_volatility_bal_acc,0.7760180995475113,0.7760180995475113,0.7760180995475113,0.7760180995475113
electricity,pretrained,na,CSS_volatility_margin,0.7466602189976483,0.7466602189976483,0.7466602189976483,0.7466602189976483
electricity,pretrained,na,CSS_volatility_pvalue,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082
electricity,pretrained,na,FSS_pearson_h192_ci_high,-0.07029609678753368,-0.07029609678753368,-0.07029609678753368,-0.07029609678753368
electricity,pretrained,na,FSS_pearson_h192_ci_low,-0.09818020247663985,-0.09818020247663985,-0.09818020247663985,-0.09818020247663985
electricity,pretrained,na,FSS_pearson_h192_pvalue,1.4931826706472088e-33,1.4931826706472088e-33,1.4931826706472088e-33,1.4931826706472088e-33
electricity,pretrained,na,FSS_pearson_h192_raw_corr,0.08526821699741474,0.08526821699741474,0.08526821699741474,0.08526821699741474
electricity,pretrained,na,FSS_pearson_h192_score,-0.08526821699741474,-0.08526821699741474,-0.08526821699741474,-0.08526821699741474
electricity,pretrained,na,FSS_pearson_h336_ci_high,-0.06736403279233268,-0.06736403279233268,-0.06736403279233268,-0.06736403279233268
electricity,pretrained,na,FSS_pearson_h336_ci_low,-0.09313143344865545,-0.09313143344865545,-0.09313143344865545,-0.09313143344865545
electricity,pretrained,na,FSS_pearson_h336_pvalue,8.590351382969742e-30,8.590351382969742e-30,8.590351382969742e-30,8.590351382969742e-30
electricity,pretrained,na,FSS_pearson_h336_raw_corr,0.08010997888631545,0.08010997888631545,0.08010997888631545,0.08010997888631545
electricity,pretrained,na,FSS_pearson_h336_score,-0.08010997888631545,-0.08010997888631545,-0.08010997888631545,-0.08010997888631545
electricity,pretrained,na,FSS_pearson_h720_ci_high,-0.06852748254367852,-0.06852748254367852,-0.06852748254367852,-0.06852748254367852
electricity,pretrained,na,FSS_pearson_h720_ci_low,-0.09519014233595706,-0.09519014233595706,-0.09519014233595706,-0.09519014233595706
electricity,pretrained,na,FSS_pearson_h720_pvalue,6.934301751522994e-31,6.934301751522994e-31,6.934301751522994e-31,6.934301751522994e-31
electricity,pretrained,na,FSS_pearson_h720_raw_corr,0.08164694808693543,0.08164694808693543,0.08164694808693543,0.08164694808693543
electricity,pretrained,na,FSS_pearson_h720_score,-0.08164694808693543,-0.08164694808693543,-0.08164694808693543,-0.08164694808693543
electricity,pretrained,na,FSS_pearson_h96_ci_high,-0.060706958922222894,-0.060706958922222894,-0.060706958922222894,-0.060706958922222894
electricity,pretrained,na,FSS_pearson_h96_ci_low,-0.08562819112146203,-0.08562819112146203,-0.08562819112146203,-0.08562819112146203
electricity,pretrained,na,FSS_pearson_h96_pvalue,2.902320189230795e-25,2.902320189230795e-25,2.902320189230795e-25,2.902320189230795e-25
electricity,pretrained,na,FSS_pearson_h96_raw_corr,0.07341367498078832,0.07341367498078832,0.07341367498078832,0.07341367498078832
electricity,pretrained,na,FSS_pearson_h96_score,-0.07341367498078832,-0.07341367498078832,-0.07341367498078832,-0.07341367498078832
electricity,pretrained,na,FSS_pearson_havg_ci_high,0.004258429424337911,0.004258429424337911,0.004258429424337911,0.004258429424337911
electricity,pretrained,na,FSS_pearson_havg_ci_low,-0.023171766033001473,-0.023171766033001473,-0.023171766033001473,-0.023171766033001473
electricity,pretrained,na,FSS_pearson_havg_pvalue,0.144008490506787,0.144008490506787,0.144008490506787,0.144008490506787
electricity,pretrained,na,FSS_pearson_havg_raw_corr,0.010340172734614558,0.010340172734614558,0.010340172734614558,0.010340172734614558
electricity,pretrained,na,FSS_pearson_havg_score,-0.010340172734614558,-0.010340172734614558,-0.010340172734614558,-0.010340172734614558
electricity,pretrained,na,FSS_spearman_h192_ci_high,-0.0848713792463515,-0.0848713792463515,-0.0848713792463515,-0.0848713792463515
electricity,pretrained,na,FSS_spearman_h192_ci_low,-0.11228930798353468,-0.11228930798353468,-0.11228930798353468,-0.11228930798353468
electricity,pretrained,na,FSS_spearman_h192_pvalue,3.5910749780592117e-45,3.5910749780592117e-45,3.5910749780592117e-45,3.5910749780592117e-45
electricity,pretrained,na,FSS_spearman_h192_raw_corr,0.09955806506311621,0.09955806506311621,0.09955806506311621,0.09955806506311621
