dataset,weight_mode,label_mode,metric,best,median,mean,worst
weather,pretrained,na,CSS_seasonality_bal_acc,0.6791101055806938,0.6791101055806938,0.6791101055806938,0.6791101055806938
weather,pretrained,na,CSS_seasonality_margin,0.6578556251661007,0.6578556251661007,0.6578556251661007,0.6578556251661007
weather,pretrained,na,CSS_seasonality_pvalue,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901
weather,pretrained,na,CSS_trend_bal_acc,0.8152337858220211,0.8152337858220211,0.8152337858220211,0.8152337858220211
weather,pretrained,na,CSS_trend_margin,0.6447797919180859,0.6447797919180859,0.6447797919180859,0.6447797919180859
weather,pretrained,na,CSS_trend_pvalue,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901
weather,pretrained,na,CSS_volatility_bal_acc,0.7471719457013575,0.7471719457013575,0.7471719457013575,0.7471719457013575
weather,pretrained,na,CSS_volatility_margin,0.650275088138183,0.650275088138183,0.650275088138183,0.650275088138183
weather,pretrained,na,CSS_volatility_pvalue,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901
weather,pretrained,na,FSS_pearson_h192_ci_high,0.04759020460769534,0.04759020460769534,0.04759020460769534,0.04759020460769534
weather,pretrained,na,FSS_pearson_h192_ci_low,0.023358376463875178,0.023358376463875178,0.023358376463875178,0.023358376463875178
weather,pretrained,na,FSS_pearson_h192_pvalue,2.365418794170182e-07,2.365418794170182e-07,2.365418794170182e-07,2.365418794170182e-07
weather,pretrained,na,FSS_pearson_h192_raw_corr,-0.036559294909238815,-0.036559294909238815,-0.036559294909238815,-0.036559294909238815
weather,pretrained,na,FSS_pearson_h192_score,0.036559294909238815,0.036559294909238815,0.036559294909238815,0.036559294909238815
weather,pretrained,na,FSS_pearson_h336_ci_high,0.055088721215724945,0.055088721215724945,0.055088721215724945,0.055088721215724945
weather,pretrained,na,FSS_pearson_h336_ci_low,0.03046770403161645,0.03046770403161645,0.03046770403161645,0.03046770403161645
weather,pretrained,na,FSS_pearson_h336_pvalue,3.1426856672567283e-09,3.1426856672567283e-09,3.1426856672567283e-09,3.1426856672567283e-09
weather,pretrained,na,FSS_pearson_h336_raw_corr,-0.041908614337444305,-0.041908614337444305,-0.041908614337444305,-0.041908614337444305
weather,pretrained,na,FSS_pearson_h336_score,0.041908614337444305,0.041908614337444305,0.041908614337444305,0.041908614337444305
weather,pretrained,na,FSS_pearson_h720_ci_high,0.06656966302543879,0.06656966302543879,0.06656966302543879,0.06656966302543879
weather,pretrained,na,FSS_pearson_h720_ci_low,0.04257096089422703,0.04257096089422703,0.04257096089422703,0.04257096089422703
weather,pretrained,na,FSS_pearson_h720_pvalue,2.9376478192285477e-14,2.9376478192285477e-14,2.9376478192285477e-14,2.9376478192285477e-14
weather,pretrained,na,FSS_pearson_h720_raw_corr,-0.05375766009092331,-0.05375766009092331,-0.05375766009092331,-0.05375766009092331
weather,pretrained,na,FSS_pearson_h720_score,0.05375766009092331,0.05375766009092331,0.05375766009092331,0.05375766009092331
weather,pretrained,na,FSS_pearson_h96_ci_high,0.06498351842164993,0.06498351842164993,0.06498351842164993,0.06498351842164993
weather,pretrained,na,FSS_pearson_h96_ci_low,0.043009080458432436,0.043009080458432436,0.043009080458432436,0.043009080458432436
weather,pretrained,na,FSS_pearson_h96_pvalue,2.7711812811376073e-14,2.7711812811376073e-14,2.7711812811376073e-14,2.7711812811376073e-14
weather,pretrained,na,FSS_pearson_h96_raw_corr,-0.053820423781871796,-0.053820423781871796,-0.053820423781871796,-0.053820423781871796
weather,pretrained,na,FSS_pearson_h96_score,0.053820423781871796,0.053820423781871796,0.053820423781871796,0.053820423781871796
weather,pretrained,na,FSS_pearson_havg_ci_high,0.05316479280591011,0.05316479280591011,0.05316479280591011,0.05316479280591011
weather,pretrained,na,FSS_pearson_havg_ci_low,0.029294727090746174,0.029294727090746174,0.029294727090746174,0.029294727090746174
weather,pretrained,na,FSS_pearson_havg_pvalue,7.741816077100339e-09,7.741816077100339e-09,7.741816077100339e-09,7.741816077100339e-09
weather,pretrained,na,FSS_pearson_havg_raw_corr,-0.040848515927791595,-0.040848515927791595,-0.040848515927791595,-0.040848515927791595
weather,pretrained,na,FSS_pearson_havg_score,0.040848515927791595,0.040848515927791595,0.040848515927791595,0.040848515927791595
weather,pretrained,na,FSS_spearman_h192_ci_high,-0.08329609358533574,-0.08329609358533574,-0.08329609358533574,-0.08329609358533574
weather,pretrained,na,FSS_spearman_h192_ci_low,-0.11229591462524503,-0.11229591462524503,-0.11229591462524503,-0.11229591462524503
weather,pretrained,na,FSS_spearman_h192_pvalue,5.052239463706269e-44,5.052239463706269e-44,5.052239463706269e-44,5.052239463706269e-44
weather,pretrained,na,FSS_spearman_h192_raw_corr,0.09823906604806416,0.09823906604806416,0.09823906604806416,0.09823906604806416
weather,pretrained,na,FSS_spearman_h192_score,-0.09823906604806416,-0.09823906604806416,-0.09823906604806416,-0.09823906604806416
weather,pretrained,na,FSS_spearman_h336_ci_high,-0.08837438113120127,-0.08837438113120127,-0.08837438113120127,-0.08837438113120127
weather,pretrained,na,FSS_spearman_h336_ci_low,-0.1152060896910744,-0.1152060896910744,-0.1152060896910744,-0.1152060896910744
weather,pretrained,na,FSS_spearman_h336_pvalue,1.9805327306805657e-47,1.9805327306805657e-47,1.9805327306805657e-47,1.9805327306805657e-47
weather,pretrained,na,FSS_spearman_h336_raw_corr,0.10211737796313779,0.10211737796313779,0.10211737796313779,0.10211737796313779
weather,pretrained,na,FSS_spearman_h336_score,-0.10211737796313779,-0.10211737796313779,-0.10211737796313779,-0.10211737796313779
weather,pretrained,na,FSS_spearman_h720_ci_high,-0.07860393742737766,-0.07860393742737766,-0.07860393742737766,-0.07860393742737766
