dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
electricity,pretrained,na,CSS_seasonality_bal_acc,0.8257918552036199,0.8257918552036199,0.8257918552036199,0.8257918552036199,0.1826923076923077
electricity,random-reset,na,CSS_seasonality_bal_acc,0.6430995475113122,0.6430995475113122,0.6430995475113122,0.6430995475113122,0.1826923076923077
electricity,pretrained,na,CSS_seasonality_margin,0.7857326711033686,0.7857326711033686,0.7857326711033686,0.7857326711033686,0.18527996274666303
electricity,random-reset,na,CSS_seasonality_margin,0.6004527083567056,0.6004527083567056,0.6004527083567056,0.6004527083567056,0.18527996274666303
electricity,pretrained,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
electricity,random-reset,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
electricity,pretrained,na,CSS_trend_bal_acc,0.5427978883861236,0.5427978883861236,0.5427978883861236,0.5427978883861236,0.06806184012066363
electricity,random-reset,na,CSS_trend_bal_acc,0.47473604826546,0.47473604826546,0.47473604826546,0.47473604826546,0.06806184012066363
electricity,pretrained,na,CSS_trend_margin,0.6436518493686426,0.6436518493686426,0.6436518493686426,0.6436518493686426,0.0151805614187428
electricity,random-reset,na,CSS_trend_margin,0.6284712879498998,0.6284712879498998,0.6284712879498998,0.6284712879498998,0.0151805614187428
electricity,pretrained,na,CSS_trend_pvalue,0.180327868852459,0.180327868852459,0.180327868852459,0.180327868852459,-0.5245901639344263
electricity,random-reset,na,CSS_trend_pvalue,0.7049180327868853,0.7049180327868853,0.7049180327868853,0.7049180327868853,-0.5245901639344263
electricity,pretrained,na,CSS_volatility_bal_acc,0.7760180995475113,0.7760180995475113,0.7760180995475113,0.7760180995475113,0.12650829562594268
electricity,random-reset,na,CSS_volatility_bal_acc,0.6495098039215687,0.6495098039215687,0.6495098039215687,0.6495098039215687,0.12650829562594268
electricity,pretrained,na,CSS_volatility_margin,0.7466602189976483,0.7466602189976483,0.7466602189976483,0.7466602189976483,0.15004435933640758
electricity,random-reset,na,CSS_volatility_margin,0.5966158596612408,0.5966158596612408,0.5966158596612408,0.5966158596612408,0.15004435933640758
electricity,pretrained,na,CSS_volatility_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
electricity,random-reset,na,CSS_volatility_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
electricity,pretrained,na,FSS_pearson_h192_score,-0.0852682169974147,-0.0852682169974147,-0.0852682169974147,-0.0852682169974147,0.1233707188032253
electricity,random-reset,na,FSS_pearson_h192_score,-0.20863893580064,-0.20863893580064,-0.20863893580064,-0.20863893580064,0.1233707188032253
