dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
ett,pretrained,na,CSS_seasonality_bal_acc,0.7758295625942685,0.7758295625942685,0.7758295625942685,0.7758295625942685,0.04769984917043746
ett,random-reset,na,CSS_seasonality_bal_acc,0.728129713423831,0.728129713423831,0.728129713423831,0.728129713423831,0.04769984917043746
ett,pretrained,na,CSS_seasonality_margin,0.7167237528720484,0.7167237528720484,0.7167237528720484,0.7167237528720484,0.04559452536483044
ett,random-reset,na,CSS_seasonality_margin,0.6711292275072179,0.6711292275072179,0.6711292275072179,0.6711292275072179,0.04559452536483044
ett,pretrained,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
ett,random-reset,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
ett,pretrained,na,CSS_trend_bal_acc,0.7181372549019608,0.7181372549019608,0.7181372549019608,0.7181372549019608,-0.029223227752639525
ett,random-reset,na,CSS_trend_bal_acc,0.7473604826546003,0.7473604826546003,0.7473604826546003,0.7473604826546003,-0.029223227752639525
ett,pretrained,na,CSS_trend_margin,0.6594670391141431,0.6594670391141431,0.6594670391141431,0.6594670391141431,-0.03713793489988404
ett,random-reset,na,CSS_trend_margin,0.6966049740140271,0.6966049740140271,0.6966049740140271,0.6966049740140271,-0.03713793489988404
ett,pretrained,na,CSS_trend_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
ett,random-reset,na,CSS_trend_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
ett,pretrained,na,CSS_volatility_bal_acc,0.6798642533936652,0.6798642533936652,0.6798642533936652,0.6798642533936652,0.02978883861236814
ett,random-reset,na,CSS_volatility_bal_acc,0.650075414781297,0.650075414781297,0.650075414781297,0.650075414781297,0.02978883861236814
ett,pretrained,na,CSS_volatility_margin,0.7154274615348941,0.7154274615348941,0.7154274615348941,0.7154274615348941,0.08698845048529369
ett,random-reset,na,CSS_volatility_margin,0.6284390110496004,0.6284390110496004,0.6284390110496004,0.6284390110496004,0.08698845048529369
ett,pretrained,na,CSS_volatility_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
ett,random-reset,na,CSS_volatility_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
ett,pretrained,na,FSS_pearson_h192_score,0.0136416971576003,0.0136416971576003,0.0136416971576003,0.0136416971576003,0.0113450828693482
ett,random-reset,na,FSS_pearson_h192_score,0.0022966142882521,0.0022966142882521,0.0022966142882521,0.0022966142882521,0.0113450828693482
ett,pretrained,na,FSS_pearson_h336_score,-6.428747967386845e-05,-6.428747967386845e-05,-6.428747967386845e-05,-6.428747967386845e-05,-0.02407095821311287
ett,random-reset,na,FSS_pearson_h336_score,0.024006670733439,0.024006670733439,0.024006670733439,0.024006670733439,-0.02407095821311287
ett,pretrained,na,FSS_pearson_h720_score,0.0178044361903529,0.0178044361903529,0.0178044361903529,0.0178044361903529,0.0051824186933146
