dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
traffic,pretrained,na,CSS_seasonality_bal_acc,0.8259803921568627,0.8259803921568627,0.8259803921568627,0.8259803921568627,0.11613876319758676
traffic,random-reset,na,CSS_seasonality_bal_acc,0.7098416289592759,0.7098416289592759,0.7098416289592759,0.7098416289592759,0.11613876319758676
traffic,pretrained,na,CSS_seasonality_margin,0.7309821288055631,0.7309821288055631,0.7309821288055631,0.7309821288055631,0.1081715322468424
traffic,random-reset,na,CSS_seasonality_margin,0.6228105965587207,0.6228105965587207,0.6228105965587207,0.6228105965587207,0.1081715322468424
traffic,pretrained,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
traffic,random-reset,na,CSS_seasonality_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
traffic,pretrained,na,CSS_trend_bal_acc,0.650075414781297,0.650075414781297,0.650075414781297,0.650075414781297,0.16421568627450972
traffic,random-reset,na,CSS_trend_bal_acc,0.4858597285067873,0.4858597285067873,0.4858597285067873,0.4858597285067873,0.16421568627450972
traffic,pretrained,na,CSS_trend_margin,0.6577367450639379,0.6577367450639379,0.6577367450639379,0.6577367450639379,0.04839419222611763
traffic,random-reset,na,CSS_trend_margin,0.6093425528378202,0.6093425528378202,0.6093425528378202,0.6093425528378202,0.04839419222611763
traffic,pretrained,na,CSS_trend_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,-0.540983606557377
traffic,random-reset,na,CSS_trend_pvalue,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278,-0.540983606557377
traffic,pretrained,na,CSS_volatility_bal_acc,0.6704374057315234,0.6704374057315234,0.6704374057315234,0.6704374057315234,0.0490196078431373
traffic,random-reset,na,CSS_volatility_bal_acc,0.6214177978883861,0.6214177978883861,0.6214177978883861,0.6214177978883861,0.0490196078431373
traffic,pretrained,na,CSS_volatility_margin,0.7640591402300698,0.7640591402300698,0.7640591402300698,0.7640591402300698,0.11522655961063089
traffic,random-reset,na,CSS_volatility_margin,0.6488325806194389,0.6488325806194389,0.6488325806194389,0.6488325806194389,0.11522655961063089
traffic,pretrained,na,CSS_volatility_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
traffic,random-reset,na,CSS_volatility_pvalue,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0
traffic,pretrained,na,FSS_pearson_h192_score,-0.0870548930100162,-0.0870548930100162,-0.0870548930100162,-0.0870548930100162,-0.03447763771878531
traffic,random-reset,na,FSS_pearson_h192_score,-0.0525772552912309,-0.0525772552912309,-0.0525772552912309,-0.0525772552912309,-0.03447763771878531
traffic,pretrained,na,FSS_pearson_h336_score,-0.0546447099594331,-0.0546447099594331,-0.0546447099594331,-0.0546447099594331,0.1406239246450836
traffic,random-reset,na,FSS_pearson_h336_score,-0.1952686346045167,-0.1952686346045167,-0.1952686346045167,-0.1952686346045167,0.1406239246450836
traffic,pretrained,na,FSS_pearson_h720_score,-0.1145775461938219,-0.1145775461938219,-0.1145775461938219,-0.1145775461938219,0.158179680883865
traffic,random-reset,na,FSS_pearson_h720_score,-0.2727572270776869,-0.2727572270776869,-0.2727572270776869,-0.2727572270776869,0.158179680883865
traffic,pretrained,na,FSS_pearson_h96_score,-0.108876656104759,-0.108876656104759,-0.108876656104759,-0.108876656104759,0.06088719052060351
traffic,random-reset,na,FSS_pearson_h96_score,-0.1697638466253625,-0.1697638466253625,-0.1697638466253625,-0.1697638466253625,0.06088719052060351
traffic,pretrained,na,FSS_pearson_havg_score,-0.0169612210639554,-0.0169612210639554,-0.0169612210639554,-0.0169612210639554,0.0893694977548865
traffic,random-reset,na,FSS_pearson_havg_score,-0.1063307188188419,-0.1063307188188419,-0.1063307188188419,-0.1063307188188419,0.0893694977548865
traffic,pretrained,na,FSS_spearman_h192_score,-0.1026642910544316,-0.1026642910544316,-0.1026642910544316,-0.1026642910544316,-0.0251212797350851
traffic,random-reset,na,FSS_spearman_h192_score,-0.0775430113193465,-0.0775430113193465,-0.0775430113193465,-0.0775430113193465,-0.0251212797350851
traffic,pretrained,na,FSS_spearman_h336_score,-0.0731298631215666,-0.0731298631215666,-0.0731298631215666,-0.0731298631215666,0.1587613116564242
traffic,random-reset,na,FSS_spearman_h336_score,-0.2318911747779908,-0.2318911747779908,-0.2318911747779908,-0.2318911747779908,0.1587613116564242
traffic,pretrained,na,FSS_spearman_h720_score,-0.1293808323613848,-0.1293808323613848,-0.1293808323613848,-0.1293808323613848,0.16428872184720777
traffic,random-reset,na,FSS_spearman_h720_score,-0.2936695542085926,-0.2936695542085926,-0.2936695542085926,-0.2936695542085926,0.16428872184720777
traffic,pretrained,na,FSS_spearman_h96_score,-0.1297406872577959,-0.1297406872577959,-0.1297406872577959,-0.1297406872577959,0.11943723207520451
traffic,random-reset,na,FSS_spearman_h96_score,-0.2491779193330004,-0.2491779193330004,-0.2491779193330004,-0.2491779193330004,0.11943723207520451
traffic,pretrained,na,FSS_spearman_havg_score,-0.0452040574185488,-0.0452040574185488,-0.0452040574185488,-0.0452040574185488,0.0775372405872897
traffic,random-reset,na,FSS_spearman_havg_score,-0.1227412980058385,-0.1227412980058385,-0.1227412980058385,-0.1227412980058385,0.0775372405872897
traffic,pretrained,na,LLS_avgk,0.303181921587549,0.303181921587549,0.303181921587549,0.303181921587549,-0.048933555912252624
traffic,random-reset,na,LLS_avgk,0.3521154774998016,0.3521154774998016,0.3521154774998016,0.3521154774998016,-0.048933555912252624
traffic,pretrained,na,LLS_k10,0.3641347865038409,0.3641347865038409,0.3641347865038409,0.3641347865038409,-0.0353376305387092
traffic,random-reset,na,LLS_k10,0.3994724170425501,0.3994724170425501,0.3994724170425501,0.3994724170425501,-0.0353376305387092
traffic,pretrained,na,LLS_k20,0.2965857229433272,0.2965857229433272,0.2965857229433272,0.2965857229433272,-0.043997244688042336
traffic,random-reset,na,LLS_k20,0.3405829676313695,0.3405829676313695,0.3405829676313695,0.3405829676313695,-0.043997244688042336
traffic,pretrained,na,LLS_k50,0.248825255315479,0.248825255315479,0.248825255315479,0.248825255315479,-0.0674657925100064
traffic,random-reset,na,LLS_k50,0.3162910478254854,0.3162910478254854,0.3162910478254854,0.3162910478254854,-0.0674657925100064
traffic,pretrained,na,LTC_dir,-0.4934458434581756,-0.4934458434581756,-0.4934458434581756,-0.4934458434581756,-0.0520313680171966
traffic,random-reset,na,LTC_dir,-0.441414475440979,-0.441414475440979,-0.441414475440979,-0.441414475440979,-0.0520313680171966
traffic,pretrained,na,LTC_step,3.765381336212158,3.765381336212158,3.765381336212158,3.765381336212158,1.2134506702423096
traffic,random-reset,na,LTC_step,2.5519306659698486,2.5519306659698486,2.5519306659698486,2.5519306659698486,1.2134506702423096
traffic,pretrained,na,MCS_k10,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.0
traffic,random-reset,na,MCS_k10,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.9805825242718448,0.0
traffic,pretrained,na,MCS_k20,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.009708737864077666
