dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
csi300,0,0.0,5.493697,10.29189,3.560608,7.3685765
csi300,11,0.0033444816053511705,4.817814,10.342667,3.5609093,7.3387036
csi300,23,0.006688963210702341,4.4627705,10.33335,3.7390618,7.174324
csi300,35,0.010033444816053512,4.55893,10.381442,3.574292,7.293665
csi300,47,0.013377926421404682,4.4966702,10.2629795,5.4721484,6.187913
csi300,59,0.016722408026755852,4.4553304,10.285796,5.4712133,9.598004
csi300,70,0.020066889632107024,4.4918346,10.184258,3.751391,7.1280704
csi300,82,0.023411371237458192,5.246749,10.321126,3.5555665,7.535768
csi300,94,0.026755852842809364,4.439688,10.399294,3.635854,7.21747
csi300,106,0.030100334448160536,4.3474293,10.229039,3.6633458,7.2824383
csi300,118,0.033444816053511704,4.553376,10.140451,3.6213775,7.1739964
csi300,130,0.03678929765886287,4.594623,10.214149,3.6786475,7.0704594
csi300,141,0.04013377926421405,4.4822264,10.480106,3.7262788,7.13123
csi300,153,0.043478260869565216,4.6882186,10.290072,5.519612,6.2804937
csi300,165,0.046822742474916385,4.4563184,9.522783,3.7422683,7.209773
csi300,177,0.05016722408026756,4.8322515,9.853522,4.1872334,9.13466
csi300,189,0.05351170568561873,4.9925528,9.278332,3.6344812,7.205987
csi300,201,0.056856187290969896,5.7776084,7.497117,3.765086,7.127943
csi300,212,0.06020066889632107,8.6807575,7.105254,3.7097974,7.303594
csi300,224,0.06354515050167224,6.7479196,6.9651794,3.6723118,7.2008014
csi300,236,0.06688963210702341,6.622822,7.499555,3.5404594,7.309134
csi300,248,0.07023411371237458,8.457491,6.9680614,3.6626894,7.255126
csi300,260,0.07357859531772575,7.180685,6.7325077,3.6389346,7.206859
csi300,272,0.07692307692307693,4.721841,7.9665103,3.7360704,7.222403
csi300,283,0.0802675585284281,6.5077853,8.047447,3.6313205,7.378696
csi300,295,0.08361204013377926,6.1022487,8.02033,3.619907,7.3311872
csi300,307,0.08695652173913043,5.680584,8.599468,3.7755365,7.125818
csi300,319,0.0903010033444816,5.77578,8.661251,3.7468789,7.172104
csi300,331,0.09364548494983277,9.889335,9.332363,5.5671124,6.2470937
csi300,343,0.09698996655518395,8.374341,10.787639,3.5484097,7.3124523
csi300,354,0.10033444816053512,9.257739,10.298689,3.7190971,7.034637
csi300,366,0.10367892976588629,9.02508,7.5667515,5.413237,6.304453
csi300,378,0.10702341137123746,5.1918373,7.78366,3.7325215,7.1884866
csi300,390,0.11036789297658862,4.9372067,7.7761927,3.5865884,7.291133
csi300,402,0.11371237458193979,6.2003884,7.127715,3.6443195,7.186757
