dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
electricity,0,0.0,24.433022,-1.291373,0.8154362,9.984128
electricity,0,0.0033444816053511705,24.428705,-1.2871279,0.8154362,9.984128
electricity,0,0.006688963210702341,24.341408,-1.199806,0.8154362,9.984128
electricity,0,0.010033444816053512,24.52063,-1.3789883,0.8154362,9.984128
electricity,0,0.013377926421404682,24.36358,-1.2219864,0.8154362,9.984128
electricity,1,0.016722408026755852,24.51518,-1.3735619,0.89997655,9.955374
electricity,1,0.020066889632107024,24.549633,-1.4080325,0.89997655,9.955374
electricity,1,0.023411371237458192,24.482048,-1.340422,0.89997655,9.955374
electricity,1,0.026755852842809364,24.56502,-1.4234096,0.89997655,9.955374
electricity,2,0.030100334448160536,24.635942,-1.4943362,0.6843909,10.277795
electricity,2,0.033444816053511704,24.657164,-1.5155438,0.6843909,10.277795
electricity,2,0.03678929765886287,24.607237,-1.465577,0.6843909,10.277795
electricity,2,0.04013377926421405,24.473682,-1.332094,0.6843909,10.277795
electricity,3,0.043478260869565216,21.290104,5.3445644,-6.2303014,11.593623
electricity,3,0.046822742474916385,21.251564,5.305963,-6.2303014,11.593623
electricity,3,0.05016722408026756,21.319902,5.375035,-6.2303014,11.593623
electricity,3,0.05351170568561873,21.241646,5.2963367,-6.2303014,11.593623
electricity,4,0.056856187290969896,21.414022,5.464251,1.7399814,9.84594
electricity,4,0.06020066889632107,21.283037,5.3351603,1.7399814,9.84594
electricity,4,0.06354515050167224,21.390469,5.441667,1.7399814,9.84594
electricity,4,0.06688963210702341,21.291252,5.343588,1.7399814,9.84594
electricity,5,0.07023411371237458,21.510303,5.55665,0.8816951,9.865706
electricity,5,0.07357859531772575,21.614422,5.652032,0.8816951,9.865706
electricity,5,0.07692307692307693,21.61508,5.65796,0.8816951,9.865706
electricity,5,0.0802675585284281,21.587328,5.6316676,0.8816951,9.865706
electricity,6,0.08361204013377926,21.757069,5.7992263,0.80369073,10.213399
electricity,6,0.08695652173913043,21.790752,5.8327107,0.80369073,10.213399
electricity,6,0.0903010033444816,21.748505,5.790781,0.80369073,10.213399
electricity,6,0.09364548494983277,21.799938,5.8419323,0.80369073,10.213399
electricity,6,0.09698996655518395,21.718513,5.7592134,0.80369073,10.213399
electricity,7,0.10033444816053512,17.741982,-8.390885,0.6593912,10.053357
electricity,7,0.10367892976588629,17.753716,-8.3792305,0.6593912,10.053357
electricity,7,0.10702341137123746,17.718386,-8.41456,0.6593912,10.053357
electricity,7,0.11036789297658862,17.695675,-8.437252,0.6593912,10.053357
electricity,8,0.11371237458193979,17.915075,-8.218189,0.7129529,10.093158
electricity,8,0.11705685618729096,17.753689,-8.379433,0.7129529,10.093158
electricity,8,0.12040133779264214,17.921926,-8.21134,0.7129529,10.093158
electricity,8,0.12374581939799331,17.913277,-8.219984,0.7129529,10.093158
electricity,9,0.12709030100334448,18.006367,-8.126999,1.5972996,9.715854
electricity,9,0.13043478260869565,17.938969,-8.194426,1.5972996,9.715854
electricity,9,0.13377926421404682,18.01713,-8.1162815,1.5972996,9.715854
electricity,9,0.13712374581939799,18.04179,-8.091704,1.5972996,9.715854
electricity,10,0.14046822742474915,28.018036,12.215399,0.76587206,10.09264
electricity,10,0.14381270903010032,28.04386,12.241221,0.76587206,10.09264
electricity,10,0.1471571906354515,28.000952,12.198297,0.76587206,10.09264
electricity,10,0.1505016722408027,27.931458,12.128791,0.76587206,10.09264
electricity,11,0.15384615384615385,28.013145,12.21045,0.7554647,10.128726
electricity,11,0.15719063545150502,28.056324,12.253644,0.7554647,10.128726
electricity,11,0.1605351170568562,27.983059,12.180346,0.7554647,10.128726
electricity,11,0.16387959866220736,28.057453,12.254769,0.7554647,10.128726
electricity,12,0.16722408026755853,28.071259,12.268556,0.77738017,10.058714
electricity,12,0.1705685618729097,27.99364,12.190992,0.77738017,10.058714
electricity,12,0.17391304347826086,28.18854,12.3858,0.77738017,10.058714
electricity,12,0.17725752508361203,28.249908,12.447154,0.77738017,10.058714
electricity,13,0.1806020066889632,7.7825975,-8.276083,0.8907189,10.398882
electricity,13,0.18394648829431437,7.768485,-8.290395,0.8907189,10.398882
electricity,13,0.18729096989966554,7.715076,-8.343694,0.8907189,10.398882
electricity,13,0.1906354515050167,7.7690334,-8.289874,0.8907189,10.398882
electricity,13,0.1939799331103679,7.6710706,-8.387852,0.8907189,10.398882
electricity,14,0.19732441471571907,-2.558104,-11.934534,0.64947855,10.333424
electricity,14,0.20066889632107024,-2.4923146,-11.964685,0.64947855,10.333424
electricity,14,0.2040133779264214,-2.484164,-12.029499,0.64947855,10.333424
electricity,14,0.20735785953177258,-2.5184493,-11.954547,0.64947855,10.333424
electricity,15,0.21070234113712374,-2.46648,-11.972747,1.0294015,9.889839
electricity,15,0.2140468227424749,-2.564559,-11.97371,1.0294015,9.889839
electricity,15,0.21739130434782608,-2.4912083,-11.926813,1.0294015,9.889839
electricity,15,0.22073578595317725,-2.4903402,-11.926979,1.0294015,9.889839
electricity,16,0.22408026755852842,-1.4957724,-12.007253,0.69144714,10.108816
electricity,16,0.22742474916387959,-1.566221,-11.893229,0.69144714,10.108816
electricity,16,0.23076923076923075,-1.5212628,-11.915461,0.69144714,10.108816
electricity,16,0.23411371237458192,-1.5630984,-11.901155,0.69144714,10.108816
electricity,17,0.23745819397993312,-1.4722816,-11.992284,0.70927954,10.143031
electricity,17,0.2408026755852843,-1.5455589,-11.901002,0.70927954,10.143031
electricity,17,0.24414715719063546,-1.4799536,-12.000117,0.70927954,10.143031
electricity,17,0.24749163879598662,-1.5339508,-11.941954,0.70927954,10.143031
electricity,18,0.2508361204013378,0.5046719,16.536598,1.2722807,9.701113
electricity,18,0.25418060200668896,0.5044728,16.53644,1.2722807,9.701113
electricity,18,0.25752508361204013,0.3956343,16.427628,1.2722807,9.701113
electricity,18,0.2608695652173913,0.4074095,16.439308,1.2722807,9.701113
electricity,19,0.26421404682274247,0.41297993,16.446238,0.895642,10.081095
electricity,19,0.26755852842809363,0.4193553,16.451504,0.895642,10.081095
electricity,19,0.2709030100334448,0.55981857,16.591825,0.895642,10.081095
electricity,19,0.27424749163879597,0.4097779,16.441801,0.895642,10.081095
