dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
ett,0,0.0,1.6949383,2.4429855,8.345022,3.9807336
ett,57,0.0033444816053511705,3.5014355,2.8534477,8.351183,4.129704
ett,115,0.006688963210702341,5.3224626,3.0144978,8.324082,4.112383
ett,173,0.010033444816053512,3.0888302,3.1367397,8.305339,4.0418196
ett,231,0.013377926421404682,3.6016905,1.8848817,8.345933,4.0332565
ett,289,0.016722408026755852,5.057525,4.7049165,8.260795,4.028414
ett,346,0.020066889632107024,1.1831838,4.2376304,8.195483,3.8939254
ett,404,0.023411371237458192,3.2426753,3.8948884,8.3096485,3.9050407
ett,462,0.026755852842809364,2.0950696,2.1739218,8.334578,4.0504007
ett,520,0.030100334448160536,3.8696973,2.0833142,8.327544,4.0215697
ett,578,0.033444816053511704,5.0605736,2.7928455,8.307434,4.003406
ett,636,0.03678929765886287,5.037611,3.839967,8.247846,4.0516834
ett,693,0.04013377926421405,7.5042925,5.0387692,8.317187,3.9616826
ett,751,0.043478260869565216,6.6176114,4.269548,8.309625,4.0761337
ett,809,0.046822742474916385,4.3097906,1.8822422,8.251544,3.9891155
ett,867,0.05016722408026756,7.341929,4.4212217,8.321953,4.063165
ett,925,0.05351170568561873,7.154206,4.71403,8.3239155,3.9620368
ett,983,0.056856187290969896,3.5705695,2.3082745,8.331159,4.086391
ett,1040,0.06020066889632107,6.2740574,2.9452448,8.348822,4.01303
ett,1098,0.06354515050167224,5.206785,2.7511914,8.293387,4.0478034
ett,1156,0.06688963210702341,7.2304564,4.409198,8.346689,4.021272
ett,1214,0.07023411371237458,5.4418044,3.4156442,8.348044,3.9520206
ett,1272,0.07357859531772575,7.1152387,3.4902182,8.334091,3.9939296
ett,1330,0.07692307692307693,4.929364,5.3518424,8.267708,4.0079136
ett,1387,0.0802675585284281,3.5635433,3.2256722,8.297223,4.0616274
ett,1445,0.08361204013377926,2.7203338,3.8357317,8.295099,4.0744176
ett,1503,0.08695652173913043,6.529246,4.595907,8.325252,3.96418
ett,1561,0.0903010033444816,7.897864,3.2909136,8.262237,4.080917
ett,1619,0.09364548494983277,1.5244234,3.2813246,8.255647,4.0187325
ett,1677,0.09698996655518395,5.6628437,3.4755836,8.229432,3.9921544
ett,1734,0.10033444816053512,5.996155,4.141108,8.335188,3.9665332
ett,1792,0.10367892976588629,6.7047353,4.7768974,8.41074,4.0627074
ett,1850,0.10702341137123746,1.5905658,3.1001625,8.296005,3.973572
ett,1908,0.11036789297658862,5.9112387,4.258202,8.2657175,4.0669565
ett,1966,0.11371237458193979,4.7704787,2.5793862,8.361723,4.041315
ett,2024,0.11705685618729096,5.018549,2.730231,8.332735,4.127318
ett,2081,0.12040133779264214,7.9279714,4.254413,8.390298,3.9979062
ett,2139,0.12374581939799331,2.0293758,4.646609,8.216293,4.0756607
ett,2197,0.12709030100334448,0.767404,3.2359145,8.384702,3.9312403
ett,2255,0.13043478260869565,4.773948,3.6996183,8.392548,4.0468216
ett,2313,0.13377926421404682,4.9303274,5.7493854,8.378642,4.0580077
ett,2371,0.13712374581939799,7.755043,3.208535,8.265154,4.0833073
ett,2428,0.14046822742474915,7.2703714,4.5867805,8.37326,4.042008
ett,2486,0.14381270903010032,2.6871314,4.490629,8.265113,3.9332507
ett,2544,0.1471571906354515,4.22039,3.0103347,8.362,4.0000587
ett,2602,0.1505016722408027,6.822362,4.234493,8.317824,4.0376344
ett,2660,0.15384615384615385,7.3416085,3.9835482,8.300083,3.9239237
ett,2718,0.15719063545150502,4.402789,3.1147413,8.251376,4.02352
ett,2775,0.1605351170568562,7.4610424,4.5819187,8.302199,4.0818963
ett,2833,0.16387959866220736,3.3945472,5.5026836,8.303218,4.1387315
ett,2891,0.16722408026755853,1.5018485,4.1189313,8.305886,3.990865
ett,2949,0.1705685618729097,0.65518856,2.4192462,8.315302,4.025785
ett,3007,0.17391304347826086,6.17469,3.937321,8.3529825,4.039467
ett,3065,0.17725752508361203,8.25208,5.027345,8.334404,3.9947906
ett,3122,0.1806020066889632,0.54328746,2.7240977,8.337305,4.004264
ett,3180,0.18394648829431437,1.1692117,3.9700613,8.343951,4.096349
ett,3238,0.18729096989966554,7.9803104,5.0927672,8.26931,4.0864806
ett,3296,0.1906354515050167,2.0492601,2.4382617,8.308148,3.993795
ett,3354,0.1939799331103679,6.7549806,4.681611,8.307808,3.945696
ett,3412,0.19732441471571907,8.313091,4.5908127,8.266259,4.215337
ett,3469,0.20066889632107024,0.9193199,2.4170768,8.312357,4.0341825
ett,3527,0.2040133779264214,0.75269437,2.4399867,8.302043,3.9542181
ett,3585,0.20735785953177258,4.7729325,4.2717805,8.340443,4.0648265
ett,3643,0.21070234113712374,2.4897919,3.0749512,8.337572,4.13771
ett,3701,0.2140468227424749,7.583503,3.3245423,8.327545,4.1129837
ett,3759,0.21739130434782608,4.6447854,5.4141326,8.341694,3.9775856
ett,3816,0.22073578595317725,1.2520636,4.227853,8.329666,4.034225
ett,3874,0.22408026755852842,4.589121,3.1907194,8.265465,4.1000733
ett,3932,0.22742474916387959,4.5959578,5.1271806,8.342139,3.9027305
ett,3990,0.23076923076923075,1.0777605,3.068463,8.325958,4.095428
ett,4048,0.23411371237458192,4.623562,3.5464754,8.282065,4.0187078
ett,4106,0.23745819397993312,4.021266,5.4430704,8.335707,4.0994053
ett,4163,0.2408026755852843,6.41433,3.506403,8.30549,4.0813985
ett,4221,0.24414715719063546,3.868891,3.260806,8.383963,4.0024104
ett,4279,0.24749163879598662,2.5526814,2.7247486,8.294128,3.9722085
ett,4337,0.2508361204013378,1.4227313,2.2684135,8.23547,3.9277742
ett,4395,0.25418060200668896,6.6951003,2.6316676,8.198289,4.0669584
ett,4453,0.25752508361204013,8.285849,4.6850305,8.2580805,4.030801
ett,4510,0.2608695652173913,2.8836172,2.6673818,8.26378,4.0719595
ett,4568,0.26421404682274247,3.2408473,1.8329356,8.336938,3.9987218
ett,4626,0.26755852842809363,6.8048196,3.3208058,8.34342,4.048511
ett,4684,0.2709030100334448,7.2634892,3.3561954,8.349452,3.9909186
ett,4742,0.27424749163879597,3.155229,2.6539774,8.401797,3.9214172
ett,4800,0.27759197324414714,2.4720736,4.968096,8.23815,4.040489
ett,4857,0.2809364548494983,4.238641,5.0340524,8.335233,4.0186896
ett,4915,0.2842809364548495,4.0440006,4.1450977,8.279079,4.0174804
