dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
traffic,0,0.0,5.458252,7.454497,0.21240641,4.654791
traffic,58,0.0033444816053511705,4.598107,8.070789,0.81316507,4.0775437
traffic,116,0.006688963210702341,3.5425332,7.191009,0.7950909,4.2106924
traffic,174,0.010033444816053512,0.12000866,6.966124,0.6525548,4.2009873
traffic,232,0.013377926421404682,3.8525317,10.163791,0.7261288,4.101357
traffic,291,0.016722408026755852,2.6762383,7.1954145,0.23068085,4.355859
traffic,349,0.020066889632107024,0.5723364,4.5384045,0.19512935,4.860089
traffic,407,0.023411371237458192,3.975179,10.558998,0.773634,4.0885925
traffic,465,0.026755852842809364,2.0173233,8.04639,0.16529956,4.8303514
traffic,524,0.030100334448160536,2.93283,5.5829096,0.23700754,4.7089176
traffic,582,0.033444816053511704,3.696222,10.408148,0.80059373,4.198083
traffic,640,0.03678929765886287,1.4259163,9.023707,0.19751455,4.7518864
traffic,698,0.04013377926421405,1.7811695,4.431544,0.7737125,4.1524816
traffic,757,0.043478260869565216,3.2056956,9.875339,0.19948852,4.3393817
traffic,815,0.046822742474916385,0.8356071,9.522748,0.8915868,4.1474166
traffic,873,0.05016722408026756,0.4951962,5.6483264,0.78255886,4.0797534
traffic,931,0.05351170568561873,3.8525753,8.133251,0.13305324,4.7985716
traffic,990,0.056856187290969896,0.8454982,6.4856033,0.17552407,4.8131056
traffic,1048,0.06020066889632107,-0.5697132,6.645086,0.18975398,4.827245
traffic,1106,0.06354515050167224,2.7271638,8.052985,0.16176468,4.826687
traffic,1164,0.06688963210702341,2.666149,5.5786004,0.13784675,4.6927857
traffic,1223,0.07023411371237458,5.7811847,7.1677647,0.36102057,4.206058
traffic,1281,0.07357859531772575,2.249886,8.760345,0.6974109,4.16057
traffic,1339,0.07692307692307693,2.2467725,6.8261003,0.7563491,4.067705
traffic,1397,0.0802675585284281,3.9162774,9.744682,0.8291977,4.0598383
traffic,1456,0.08361204013377926,2.0535,9.357637,0.65984666,4.0649667
traffic,1514,0.08695652173913043,1.4001232,4.5996904,0.44416776,4.07806
traffic,1572,0.0903010033444816,3.4338374,9.815174,0.6683869,4.2512636
traffic,1630,0.09364548494983277,2.3180475,9.813227,0.11282243,4.7114596
traffic,1689,0.09698996655518395,0.75626177,4.987961,0.7678561,4.206837
traffic,1747,0.10033444816053512,4.561901,8.839806,0.7474489,4.1803136
traffic,1805,0.10367892976588629,1.5524116,9.674737,0.16937697,4.6960526
traffic,1863,0.10702341137123746,1.9462649,6.075801,0.19787656,4.786116
traffic,1922,0.11036789297658862,4.8275056,8.195195,0.7174003,4.147271
traffic,1980,0.11371237458193979,1.0114611,8.86247,0.8888254,4.198262
traffic,2038,0.11705685618729096,2.606611,4.9740853,0.13022803,4.7223554
traffic,2096,0.12040133779264214,3.8990226,8.4627285,0.7602151,4.2048583
traffic,2155,0.12374581939799331,2.6285105,6.9441953,0.8760105,4.200123
