dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
weather,0,0.0,6.807413,2.1016042,2.982037,4.860282
weather,175,0.0033444816053511705,9.523153,0.68878764,1.8899263,4.2921867
weather,351,0.006688963210702341,6.6948147,1.0971386,2.9741864,4.7716403
weather,527,0.010033444816053512,5.8761635,0.12286672,2.9073832,4.700208
weather,703,0.013377926421404682,5.9823537,2.9916542,1.947838,4.239208
weather,879,0.016722408026755852,10.362134,2.9690151,2.0146077,4.255333
weather,1054,0.020066889632107024,6.948001,0.31009784,2.005551,4.2591004
weather,1230,0.023411371237458192,6.7432184,3.536212,2.957613,4.7818203
weather,1406,0.026755852842809364,4.9348807,3.062065,1.8940954,4.2754984
weather,1582,0.030100334448160536,11.072849,2.7572043,2.0279584,4.170064
weather,1758,0.033444816053511704,7.013577,1.3650179,3.029734,4.7386374
weather,1933,0.03678929765886287,4.510317,2.1568928,3.141007,4.8026395
weather,2109,0.04013377926421405,8.990191,1.7472403,1.982486,4.246087
weather,2285,0.043478260869565216,5.5420856,3.6439974,1.9604981,4.2698607
weather,2461,0.046822742474916385,7.67898,1.2320178,2.9886017,4.6936045
weather,2637,0.05016722408026756,5.97663,0.81995404,2.9203386,4.8187957
weather,2812,0.05351170568561873,2.3718016,4.837206,3.0580404,4.7195253
weather,2988,0.056856187290969896,5.953682,2.415263,2.9983764,4.812912
weather,3164,0.06020066889632107,6.309142,2.2627866,3.0274136,4.7458477
weather,3340,0.06354515050167224,9.583297,1.1509091,2.91564,4.7071443
weather,3516,0.06688963210702341,3.124284,3.145651,3.051648,4.659393
weather,3691,0.07023411371237458,6.8633375,3.1627476,2.9721699,4.8806367
weather,3867,0.07357859531772575,6.022214,3.955131,1.9451474,4.2601857
weather,4043,0.07692307692307693,9.454136,1.7862537,2.9900177,4.7199297
weather,4219,0.0802675585284281,8.030223,0.37956178,3.0243275,4.706298
weather,4395,0.08361204013377926,4.1329794,1.2915345,3.0304005,4.779958
weather,4571,0.08695652173913043,5.9982343,2.2880983,2.9728193,4.7682376
weather,4746,0.0903010033444816,5.9672284,3.2695444,3.0157635,4.84728
weather,4922,0.09364548494983277,4.5954375,1.410236,3.0476115,4.7330856
weather,5098,0.09698996655518395,3.735631,1.5359101,3.0054812,4.719979
weather,5274,0.10033444816053512,5.34042,2.1903872,3.0253458,4.874724
weather,5450,0.10367892976588629,7.13639,2.8914263,1.9623861,4.203034
weather,5625,0.10702341137123746,10.833261,2.9546525,1.9765551,4.287427
weather,5801,0.11036789297658862,5.6206264,2.3981535,1.9717426,4.234185
weather,5977,0.11371237458193979,3.7897356,1.9051383,3.0650918,4.7200027
weather,6153,0.11705685618729096,8.205769,1.7896887,1.9397125,4.272155
weather,6329,0.12040133779264214,9.434068,0.6256737,1.8688091,4.3368974
weather,6504,0.12374581939799331,10.493431,2.3486445,2.949591,4.7166123
weather,6680,0.12709030100334448,4.675615,2.54629,2.9496536,4.8061304
weather,6856,0.13043478260869565,6.351597,3.4166453,1.9890691,4.155361
weather,7032,0.13377926421404682,8.970635,2.5995138,2.9946635,4.614854
weather,7208,0.13712374581939799,8.711736,3.341388,3.1425354,4.707066
weather,7383,0.14046822742474915,6.4417877,-0.1841354,3.0654929,4.659084
weather,7559,0.14381270903010032,6.3453693,-0.20051825,3.0233195,4.7160535
weather,7735,0.1471571906354515,3.6736894,3.1232793,3.073151,4.6763678
weather,7911,0.1505016722408027,5.8188887,3.254123,2.9643378,4.766405
weather,8087,0.15384615384615385,6.8748374,0.8997653,1.9447306,4.2536707
weather,8263,0.15719063545150502,6.264347,1.799425,1.8715686,4.1640706
weather,8438,0.1605351170568562,7.0823717,0.3351033,3.1589146,4.7195888
weather,8614,0.16387959866220736,7.036225,0.71464074,1.8618786,4.1780167
weather,8790,0.16722408026755853,6.576786,2.9348886,3.0733922,4.662032
weather,8966,0.1705685618729097,2.333291,4.8192086,1.9797248,4.2053432
weather,9142,0.17391304347826086,2.9826424,3.4418857,1.8645703,4.157293
weather,9317,0.17725752508361203,6.564475,0.054249812,2.9793713,4.718307
weather,9493,0.1806020066889632,5.50326,4.013556,1.9375612,4.353405
weather,9669,0.18394648829431437,10.567084,2.3034823,1.913958,4.265713
weather,9845,0.18729096989966554,2.710777,3.9806573,1.9528188,4.1836934
weather,10021,0.1906354515050167,8.351889,0.48349792,2.9962144,4.766868
weather,10196,0.1939799331103679,5.608168,3.101118,3.0226018,4.6915693
weather,10372,0.19732441471571907,9.106595,0.75757855,1.9501998,4.159532
weather,10548,0.20066889632107024,6.7041006,-0.3514585,3.121291,4.7278824
weather,10724,0.2040133779264214,2.2196596,4.5988836,3.008794,4.8190193
weather,10900,0.20735785953177258,6.2078485,0.89586115,2.9488037,4.58006
weather,11075,0.21070234113712374,9.327483,2.4105918,1.907453,4.3105187
weather,11251,0.2140468227424749,9.570008,1.2712567,3.0539324,4.7575197
weather,11427,0.21739130434782608,2.1529756,5.0691013,1.9598038,4.1566086
weather,11603,0.22073578595317725,4.452786,2.6801853,3.003003,4.8160734
weather,11779,0.22408026755852842,9.328208,2.064061,1.9287479,4.0812993
weather,11955,0.22742474916387959,10.321058,2.5867107,2.0139773,4.150764
weather,12130,0.23076923076923075,6.8169684,-0.36822227,2.9626417,4.920405
weather,12306,0.23411371237458192,2.3794012,4.4703603,2.9621139,4.648613
weather,12482,0.23745819397993312,4.4646034,1.6846203,3.0744755,4.845405
weather,12658,0.2408026755852843,9.979361,3.0174885,1.9352796,4.1709766
weather,12834,0.24414715719063546,9.517014,0.7061331,3.0099807,4.6892586
weather,13009,0.24749163879598662,2.5243154,4.27753,2.9259367,4.7232842
weather,13185,0.2508361204013378,3.7898545,1.9488207,2.9428103,4.7503157
weather,13361,0.25418060200668896,8.775036,2.652872,2.8781178,4.813093
weather,13537,0.25752508361204013,9.054307,2.7852323,1.8941818,4.194436
weather,13713,0.2608695652173913,6.969184,-0.37764618,2.943412,4.8006315
weather,13888,0.26421404682274247,2.275457,4.9249163,3.023585,4.678092
weather,14064,0.26755852842809363,4.104256,1.854671,1.914265,4.342279
weather,14240,0.2709030100334448,10.23716,2.0585117,2.0272107,4.2803774
weather,14416,0.27424749163879597,9.9024315,2.5038915,3.0018177,4.827824
weather,14592,0.27759197324414714,2.5482442,3.064425,3.0912998,4.77436
weather,14767,0.2809364548494983,2.5796366,3.1318712,1.9499638,4.2090836
weather,14943,0.2842809364548495,10.784919,2.889091,1.8881466,4.225902
weather,15119,0.28762541806020064,11.156988,2.6382139,2.906351,4.8247566
weather,15295,0.2909698996655518,7.459638,-0.20911077,3.0026293,4.8790956
weather,15471,0.294314381270903,2.2078052,4.959293,1.9676809,4.3972626
weather,15647,0.29765886287625415,5.9810667,2.591537,3.011377,4.679095
weather,15822,0.3010033444816054,9.6689825,2.074307,2.985554,4.6505384
weather,15998,0.30434782608695654,10.198092,1.7972463,2.9554758,4.871734
weather,16174,0.3076923076923077,2.840061,2.5866222,3.1319382,4.6623154
weather,16350,0.3110367892976589,2.9099174,3.7797546,1.9400555,4.081086
weather,16526,0.31438127090301005,6.370021,3.1688197,1.8744874,4.2377896
weather,16701,0.3177257525083612,10.293908,2.077767,1.9496138,4.2001405
weather,16877,0.3210702341137124,7.4249573,-0.3232103,3.027297,4.6895256
weather,17053,0.32441471571906355,3.844623,3.665217,2.942465,4.5692687
weather,17229,0.3277591973244147,5.0792136,1.805438,1.873731,4.2591686
weather,17405,0.3311036789297659,9.143512,2.17898,1.8789661,4.2398195
weather,17580,0.33444816053511706,9.550862,2.156622,1.9614447,4.155356
weather,17756,0.3377926421404682,3.3887548,3.1653426,1.8618317,4.2612624
weather,17932,0.3411371237458194,4.075685,2.2683513,1.9680368,4.2676587
weather,18108,0.34448160535117056,9.015148,0.70370954,3.0379705,4.757214
weather,18284,0.34782608695652173,11.113747,2.5234556,1.9989935,4.3051286
weather,18459,0.3511705685618729,7.6674595,-0.10044893,1.9192445,4.258714
weather,18635,0.35451505016722407,2.5173562,4.3309245,2.0797312,4.2649784
weather,18811,0.35785953177257523,3.703057,3.3883662,3.1030915,4.73967
weather,18987,0.3612040133779264,10.395552,2.816502,2.012104,4.1763563
weather,19163,0.36454849498327757,10.384176,2.3273702,3.0588083,4.845772
weather,19339,0.36789297658862874,5.3583336,2.6585171,2.9102533,4.817671
weather,19514,0.3712374581939799,3.666085,1.9201766,1.9402827,4.189843
weather,19690,0.3745819397993311,8.070214,1.3897775,1.9686435,4.1578803
weather,19866,0.37792642140468224,11.077971,2.5300384,2.9608085,4.7927094
weather,20042,0.3812709030100334,7.3731728,-0.14904092,1.7936479,4.333357
weather,20218,0.3846153846153846,3.069354,3.2206168,3.1342478,4.76921
weather,20393,0.3879598662207358,4.101415,2.1496599,3.1534631,4.716544
weather,20569,0.391304347826087,4.4065537,2.1450214,1.90604,4.367008
weather,20745,0.39464882943143814,9.451351,2.9465678,1.8384565,4.2657266
weather,20921,0.3979933110367893,3.023594,3.7491674,3.0144799,4.709996
weather,21097,0.4013377926421405,3.2932851,3.517312,2.9943619,4.690384
weather,21272,0.40468227424749165,7.2200985,1.5915495,1.9240638,4.151609
weather,21448,0.4080267558528428,9.169679,2.8516412,1.9652021,4.115782
weather,21624,0.411371237458194,4.2250566,1.3806493,1.884678,4.24766
weather,21800,0.41471571906354515,3.3896742,3.5418797,3.025264,4.7294574
weather,21976,0.4180602006688963,6.557031,-0.15050125,3.025307,4.656434
weather,22151,0.4214046822742475,10.080707,2.3034186,2.8903346,4.703564
weather,22327,0.42474916387959866,9.165896,1.6665742,2.986005,4.7690063
weather,22503,0.4280936454849498,4.483434,1.3951249,2.993018,4.5721946
weather,22679,0.431438127090301,3.9885108,1.7967936,3.0984318,4.7458777
weather,22855,0.43478260869565216,8.852208,2.0561073,2.9481626,4.658503
weather,23031,0.43812709030100333,10.820385,2.1145837,1.9458278,4.252989
weather,23206,0.4414715719063545,6.9533396,3.4062607,1.9046751,4.2464867
weather,23382,0.44481605351170567,6.434167,0.139827,1.9532113,4.2365856
weather,23558,0.44816053511705684,6.0516157,2.627818,3.048258,4.7011447
weather,23734,0.451505016722408,8.952255,3.3811815,2.9003317,4.6984997
weather,23910,0.45484949832775917,6.5114994,3.7284057,3.086543,4.6774387
weather,24085,0.45819397993311034,5.1088653,2.515184,3.0462086,4.8279114
weather,24261,0.4615384615384615,3.8444407,2.0019581,2.9878714,4.654145
weather,24437,0.4648829431438127,8.362026,1.1905246,3.02252,4.5888124
weather,24613,0.46822742474916385,9.452657,2.4357355,1.892955,4.097627
weather,24789,0.47157190635451507,6.7819433,-0.17767309,3.0641925,4.669843
weather,24964,0.47491638795986624,2.8234289,2.7585852,1.9084114,4.05657
weather,25140,0.4782608695652174,6.265208,-0.2808072,1.9153713,4.182296
weather,25316,0.4816053511705686,9.774211,1.8781203,1.9626414,4.0916915
weather,25492,0.48494983277591974,9.540868,0.8198518,2.9940841,4.7742004
weather,25668,0.4882943143812709,3.5712957,2.8700953,1.8918957,4.183285
weather,25843,0.4916387959866221,2.9499114,2.8706691,2.9449406,4.657277
weather,26019,0.49498327759197325,8.134308,1.1014853,1.955995,4.241336
weather,26195,0.4983277591973244,11.118582,2.647347,2.9737756,4.8042097
weather,26371,0.5016722408026756,6.87163,0.91418993,2.9734643,4.746542
weather,26547,0.5050167224080268,3.6195831,1.5597092,2.9717968,4.693577
weather,26723,0.5083612040133779,5.5590053,2.3673456,2.884041,4.720855
weather,26898,0.5117056856187291,5.3431716,3.98296,2.954553,4.832949
weather,27074,0.5150501672240803,9.98369,2.262511,1.9983425,4.2349644
weather,27250,0.5183946488294314,3.0158708,3.3797235,2.9439874,4.840059
weather,27426,0.5217391304347826,3.9210224,1.4089327,1.9978043,4.4357233
weather,27602,0.5250836120401338,5.969995,1.7956122,1.8951114,4.3208146
weather,27777,0.5284280936454849,9.807166,2.8488216,1.8853427,4.17313
weather,27953,0.5317725752508361,7.1550913,-0.0969713,3.0602043,4.784281
weather,28129,0.5351170568561873,2.9117777,3.214699,3.0021315,4.663956
weather,28305,0.5384615384615384,4.404297,1.8391919,3.011655,4.837456
weather,28481,0.5418060200668896,7.1208816,3.3881688,1.9610472,4.1395607
weather,28656,0.5451505016722408,9.743456,2.6331284,2.949065,4.7648497
weather,28832,0.5484949832775919,4.1163254,2.49604,3.013424,4.7895975
weather,29008,0.5518394648829431,3.4526277,3.5919192,3.0613668,4.7843704
weather,29184,0.5551839464882943,7.37042,0.49566394,1.892722,4.2766476
weather,29360,0.5585284280936454,9.587216,2.7396472,3.0723174,4.7514815
weather,29535,0.5618729096989966,8.239554,-9.1846865e-05,2.9969635,4.697792
weather,29711,0.5652173913043478,2.915503,3.3021104,2.8804145,4.7678123
weather,29887,0.568561872909699,4.2296996,1.1874416,3.1156106,4.5354533
weather,30063,0.5719063545150501,10.982872,2.8633397,1.871718,4.306168
weather,30239,0.5752508361204013,10.857164,3.091167,2.996403,4.719384
weather,30415,0.5785953177257525,4.4398584,1.1728771,3.0525606,4.896984
weather,30590,0.5819397993311036,2.1535058,4.7693777,1.9764278,4.2934575
weather,30766,0.5852842809364548,5.349537,3.2455063,2.9632642,4.7321844
weather,30942,0.588628762541806,5.636474,3.6514976,3.0026886,4.761806
weather,31118,0.5919732441471571,7.6821346,1.4570287,3.0916266,4.6406355
weather,31294,0.5953177257525083,2.2320867,4.7194324,3.064531,4.65798
weather,31469,0.5986622073578595,3.8744597,1.8608621,3.0270505,4.752934
weather,31645,0.6020066889632107,6.6919723,3.2620654,1.9483633,4.38906
weather,31821,0.6053511705685619,11.0353,2.6816025,1.9505199,4.207412
weather,31997,0.6086956521739131,4.8263745,1.0844834,3.0625196,4.8135605
weather,32173,0.6120401337792643,2.4425857,4.6582613,1.989202,4.220241
weather,32348,0.6153846153846154,6.5941787,0.21298316,3.0111225,4.8016305
weather,32524,0.6187290969899666,9.39674,3.1954706,3.0000365,4.7933784
weather,32700,0.6220735785953178,7.1276813,0.27795082,1.8909805,4.318853
weather,32876,0.6254180602006689,2.5449622,4.3759527,2.017688,4.163293
weather,33052,0.6287625418060201,3.9553778,1.9181386,3.0542555,4.7375135
weather,33227,0.6321070234113713,8.851916,3.3096318,3.0427332,4.657258
weather,33403,0.6354515050167224,11.153668,2.430208,1.983806,4.2157593
weather,33579,0.6387959866220736,6.8085833,-0.42918622,3.0214944,4.84022
weather,33755,0.6421404682274248,2.4367607,3.947845,3.0497468,4.873951
weather,33931,0.6454849498327759,6.649746,0.046226673,3.096038,4.721466
weather,34107,0.6488294314381271,10.114048,2.8370557,1.9379346,4.15761
weather,34282,0.6521739130434783,7.3891826,1.2691292,1.8950777,4.129933
weather,34458,0.6555183946488294,2.6916177,4.605696,1.9551451,4.149848
weather,34634,0.6588628762541806,4.138753,0.9634669,1.8922924,4.229864
weather,34810,0.6622073578595318,8.748082,3.0571718,1.9734145,4.306134
weather,34986,0.6655518394648829,6.1698527,-0.072156504,3.0189998,4.7251525
weather,35161,0.6688963210702341,4.3951335,1.5098283,2.0062273,4.4024343
weather,35337,0.6722408026755853,3.1885586,3.0288951,3.065482,4.720147
weather,35513,0.6755852842809364,8.818546,0.7519476,1.8357435,4.3870234
weather,35689,0.6789297658862876,5.6988173,3.9479687,1.9078041,4.207617
weather,35865,0.6822742474916388,7.9540577,1.6483581,2.9599106,4.792764
weather,36040,0.68561872909699,2.5517628,3.6247008,3.1034358,4.698509
weather,36216,0.6889632107023411,3.6229475,1.8592377,1.8259397,4.307814
weather,36392,0.6923076923076923,5.8110743,4.163466,2.9063566,4.6192865
weather,36568,0.6956521739130435,10.672103,2.9468358,2.0034425,4.2421255
weather,36744,0.6989966555183946,7.289206,-0.0028968619,1.9289693,4.411997
weather,36919,0.7023411371237458,2.2696927,5.015305,1.9684308,4.1727705
weather,37095,0.705685618729097,4.1098304,1.2667392,1.8949537,4.1827087
weather,37271,0.7090301003344481,9.520438,3.0659719,3.0143776,4.763615
weather,37447,0.7123745819397993,5.250983,4.1595,2.938931,4.696431
weather,37623,0.7157190635451505,2.616748,3.6138911,2.953547,4.899867
weather,37799,0.7190635451505016,3.5636458,3.4706612,3.00068,4.7481723
weather,37974,0.7224080267558528,8.339555,1.6832787,2.889569,4.7684774
weather,38150,0.725752508361204,10.5736685,2.412627,1.9600405,4.2421894
weather,38326,0.7290969899665551,7.933689,1.8313837,1.8715032,4.1742415
weather,38502,0.7324414715719063,5.658643,3.8102915,1.8329808,4.2347293
weather,38678,0.7357859531772575,8.906011,2.922484,1.9474006,4.1090455
weather,38853,0.7391304347826086,7.215142,0.6113716,1.8979373,4.22862
weather,39029,0.7424749163879598,10.981881,2.9531066,1.8547623,4.318109
weather,39205,0.745819397993311,4.1285157,2.3057745,1.931938,4.264428
weather,39381,0.7491638795986622,3.4739656,3.2073104,1.9287237,4.284208
weather,39557,0.7525083612040133,8.675979,2.892444,3.0563898,4.9217105
weather,39732,0.7558528428093645,9.566592,2.7487133,2.079081,4.1260877
weather,39908,0.7591973244147157,6.6462297,-0.2512669,3.0184474,4.8034596
weather,40084,0.7625418060200668,2.710335,2.733748,2.0106993,4.0839744
weather,40260,0.765886287625418,5.8116093,2.6922688,2.0427268,4.192376
weather,40436,0.7692307692307692,9.057176,3.007362,2.9087882,4.682737
weather,40611,0.7725752508361204,5.364648,2.851516,1.9277728,4.3138227
weather,40787,0.7759197324414716,2.8419003,4.075075,2.930871,4.707135
weather,40963,0.7792642140468228,4.092919,1.8060621,3.078998,4.704909
weather,41139,0.782608695652174,6.476453,2.8793852,1.9522197,4.228534
weather,41315,0.7859531772575251,9.464251,1.8126885,2.0073943,4.3233075
weather,41491,0.7892976588628763,4.5862484,1.3581558,3.039728,4.7166705
weather,41666,0.7926421404682275,6.1163683,2.8496192,1.98123,4.248902
weather,41842,0.7959866220735786,6.1141567,1.3625277,1.9299204,4.329523
weather,42018,0.7993311036789298,7.6801295,1.6168159,2.9638338,4.744729
weather,42194,0.802675585284281,11.034232,3.0779772,1.8687428,4.3760595
weather,42370,0.8060200668896321,8.761207,1.1629303,3.0530164,4.8110447
weather,42545,0.8093645484949833,2.687096,3.0570161,1.8784113,4.1223903
weather,42721,0.8127090301003345,6.1523438,2.765257,3.1207519,4.7062078
weather,42897,0.8160535117056856,9.250919,3.0638776,1.9695386,4.174002
weather,43073,0.8193979933110368,5.952372,3.083345,3.027531,4.6281457
weather,43249,0.822742474916388,3.0089118,3.002979,2.9837408,4.6648226
weather,43424,0.8260869565217391,5.451663,2.1698616,1.9998075,4.1923037
weather,43600,0.8294314381270903,8.779416,0.5346569,1.8591173,4.3485436
weather,43776,0.8327759197324415,5.9608426,4.0377316,2.0036128,4.2473936
weather,43952,0.8361204013377926,7.1023774,0.18975991,1.9034206,4.154728
weather,44128,0.8394648829431438,2.4119368,4.7175045,1.9688481,4.1779666
weather,44303,0.842809364548495,6.2616954,3.4433677,3.0662615,4.7709627
weather,44479,0.8461538461538461,9.911606,1.7323172,1.9453379,4.2933145
weather,44655,0.8494983277591973,9.455206,0.9061924,3.009784,4.78813
weather,44831,0.8528428093645485,2.5403454,3.5998247,1.8951759,4.4607415
weather,45007,0.8561872909698997,5.0095606,2.2661188,1.8645583,4.5192485
weather,45183,0.8595317725752508,9.262897,0.73972267,1.9262898,4.1916456
weather,45358,0.862876254180602,10.767092,2.0316184,1.9426514,4.2160654
weather,45534,0.8662207357859532,5.7199974,0.72371346,2.9470673,4.856998
weather,45710,0.8695652173913043,4.018255,1.1620866,1.9321468,4.2066574
weather,45886,0.8729096989966555,5.1440015,3.779562,1.9916005,4.1591353
weather,46062,0.8762541806020067,6.955218,0.1163474,2.9815142,4.7064853
weather,46237,0.8795986622073578,9.611849,0.84567267,2.9674635,4.813179
weather,46413,0.882943143812709,2.477239,3.904386,1.987342,4.2453585
weather,46589,0.8862876254180602,5.905167,2.917193,1.9646477,4.2180843
weather,46765,0.8896321070234113,6.202936,3.1016228,3.0496597,4.7246304
weather,46941,0.8929765886287625,10.90515,2.1023471,3.0580423,4.6968303
weather,47116,0.8963210702341137,2.8144321,3.5652514,2.9599721,4.898848
weather,47292,0.8996655518394648,2.5714774,3.3296103,3.0130458,4.7455153
weather,47468,0.903010033444816,5.313714,3.4555914,1.9842432,4.1376367
weather,47644,0.9063545150501672,7.6560206,1.346908,3.1249824,4.6022143
weather,47820,0.9096989966555183,7.252698,1.0289276,1.911118,4.2549496
weather,47995,0.9130434782608695,5.7730007,2.995808,1.9271814,4.2688365
weather,48171,0.9163879598662207,7.1365995,0.7078687,1.9712503,4.1825285
weather,48347,0.9197324414715718,5.4915276,4.392332,2.9467297,4.7286935
weather,48523,0.923076923076923,6.36848,2.9804597,2.0089393,4.2474866
weather,48699,0.9264214046822742,7.541755,1.3946487,3.0535889,4.71954
weather,48875,0.9297658862876254,5.800041,4.151502,2.963909,4.805599
weather,49050,0.9331103678929765,8.949818,2.6206717,2.9880967,4.629373
weather,49226,0.9364548494983277,7.5269446,1.4422742,1.9656583,4.381426
weather,49402,0.9397993311036789,9.104836,2.249909,3.0030723,4.7528257
weather,49578,0.9431438127090301,5.244245,1.408843,2.9998806,4.753538
weather,49754,0.9464882943143813,7.149187,1.4646426,1.9074888,4.3685594
weather,49929,0.9498327759197325,10.656954,1.899873,1.8487369,4.4249835
weather,50105,0.9531772575250836,9.145272,2.607035,2.053506,4.2434497
weather,50281,0.9565217391304348,8.599103,0.2312175,2.9988418,4.741341
weather,50457,0.959866220735786,2.4055414,3.3128624,3.0132558,4.8208594
weather,50633,0.9632107023411371,5.0353127,3.2219453,2.9726129,4.7138543
weather,50808,0.9665551839464883,7.7726197,2.0231633,2.072393,4.2096972
weather,50984,0.9698996655518395,10.784307,2.3742964,1.8838855,4.252061
weather,51160,0.9732441471571907,7.54097,0.6648373,2.8926513,4.802625
weather,51336,0.9765886287625418,6.192616,3.8158233,3.0335193,4.873006
weather,51512,0.979933110367893,2.9130645,2.4289367,1.9199034,4.2495584
weather,51687,0.9832775919732442,4.6328874,1.3007216,3.050391,4.962129
weather,51863,0.9866220735785953,9.017074,1.2575071,2.922732,4.927984
weather,52039,0.9899665551839465,2.3521316,4.3573265,1.8392216,4.2997947
weather,52215,0.9933110367892977,6.226413,-0.044983108,1.8923781,4.357771
weather,52391,0.9966555183946488,8.5047035,1.9689577,2.0178866,4.2355585
weather,52567,1.0,6.906497,0.06336828,1.9131961,4.207584
