date,value
2008-01-02,0.74735785
2008-01-03,0.57677513
2008-01-04,0.9783356
2008-01-07,1.1510324
2008-01-08,-0.4920946
2008-01-09,1.3472286
2008-01-10,0.8926352
2008-01-11,0.38970459
2008-01-14,0.47553244
2008-01-15,-0.58333516
2008-01-16,-3.0
2008-01-17,-2.3019693
2008-01-18,0.7768489
2008-01-21,-3.0
2008-01-22,-3.0
2008-01-23,3.0
2008-01-24,0.8988925
2008-01-25,0.8557927
2008-01-28,-3.0
2008-01-29,0.53437644
2008-01-30,-0.9968631
2008-01-31,-1.7417723
2008-02-01,-0.9689975
2008-02-04,3.0
2008-02-05,-0.5437836
2008-02-13,-1.9490594
2008-02-14,1.1529765
2008-02-15,-1.2567796
2008-02-18,1.7741476
2008-02-19,1.957383
2008-02-20,-2.0229995
2008-02-21,-0.6278161
2008-02-22,-3.0
2008-02-25,-3.0
2008-02-26,-0.11818727
2008-02-27,2.4174688
2008-02-28,-0.37458724
2008-02-29,0.97773015
2008-03-03,2.1807756
2008-03-04,-2.2591085
2008-03-05,-0.8437562
2008-03-06,1.0496624
2008-03-07,-1.2393091
2008-03-10,-3.0
2008-03-11,0.15856747
2008-03-12,-2.6737998
2008-03-13,-2.3232484
2008-03-14,-0.90644056
2008-03-17,-3.0
2008-03-18,-3.0
2008-03-19,2.9231086
2008-03-20,2.554449
2008-03-21,0.76725584
2008-03-24,-3.0
2008-03-25,1.0904143
2008-03-26,0.16174392
2008-03-27,-3.0
2008-03-28,3.0
2008-03-31,-2.9371953
2008-04-01,-3.0
2008-04-02,-0.90191495
2008-04-03,2.5457273
2008-04-07,3.0
2008-04-08,1.0138608
2008-04-09,-3.0
2008-04-10,1.5746475
2008-04-11,0.654221
2008-04-14,-3.0
2008-04-15,1.1493326
2008-04-16,-2.2548645
2008-04-17,-2.7733374
2008-04-18,-3.0
2008-04-21,-0.16905294
2008-04-22,0.74898326
2008-04-23,3.0
2008-04-24,3.0
2008-04-25,0.6400704
2008-04-28,-1.7664561
2008-04-29,1.1076458
2008-04-30,3.0
2008-05-05,2.1413622
2008-05-06,-1.0207715
2008-05-07,-3.0
2008-05-08,2.3845146
2008-05-09,-1.0814639
2008-05-12,0.5628582
2008-05-13,-1.2492527
2008-05-14,2.8368132
2008-05-15,-0.65515053
2008-05-16,-0.30450353
2008-05-19,-0.5335956
2008-05-20,-3.0
2008-05-21,1.7002712
2008-05-22,-1.7211838
2008-05-23,-0.90593594
2008-05-26,-2.8455245
2008-05-27,0.39076695
2008-05-28,2.4583802
2008-05-29,-2.3460996
2008-05-30,0.72372043
2008-06-02,0.3233285
2008-06-03,-0.32231927
2008-06-04,-1.6912891
2008-06-05,-0.90819347
2008-06-06,-0.6087521
2008-06-10,-3.0
2008-06-11,-1.8759745
2008-06-12,-1.6141088
2008-06-13,-3.0
2008-06-16,-0.8383222
2008-06-17,-3.0
2008-06-18,3.0
2008-06-19,-3.0
2008-06-20,2.4270089
2008-06-23,-1.9022201
2008-06-24,1.9452085
2008-06-25,3.0
2008-06-26,0.30683008
2008-06-27,-3.0
2008-06-30,-0.8002898
2008-07-01,-3.0
